molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0353,2,G001,16,CCOC(=O)C(C)C,WDAXFOBOLVPGLV-UHFFFAOYSA-N,"apple, ethereal, fruity, rummy, sweet, pungent, alcoholic","frozenset({'sweet', 'rummy', 'pungent', 'alcoholic', 'apple', 'fruity', 'ethereal'})",7
SML0468,2,G001,16,CC(C)CCN,BMFVGAAISNGQNM-UHFFFAOYSA-N,cheesy,frozenset({'cheesy'}),1
SML0480,2,G001,16,CCCCCCCOC(=O)C(C)C,RFDUMBPGZUIKOG-UHFFFAOYSA-N,"fruity, herbal, tropical, sweet, estery, warm, floral, pineapple, apricot, apple, green, cherry, peach","frozenset({'warm', 'sweet', 'peach', 'tropical', 'apricot', 'green', 'cherry', 'estery', 'herbal', 'floral', 'apple', 'fruity', 'pineapple'})",13
SML0484,2,G001,16,CC1=CC=CC=C1OC(=O)C(C)C,FDJBDZVTTXWIQM-UHFFFAOYSA-N,"berry, fruity, medicinal, phenolic","frozenset({'fruity', 'medicinal', 'phenolic', 'berry'})",4
SML0581,2,G001,16,CCOC(=O)CC1(OCCO1)C,XWEOGMYZFCHQNT-UHFFFAOYSA-N,"apple, fruity, pine, sweet, woody, plum, green, tropical","frozenset({'sweet', 'tropical', 'pine', 'green', 'woody', 'apple', 'plum', 'fruity'})",8
SML0594,2,G001,16,CC1CC(CO1)(C)C2=CC=CC=C2,GPMLJOOQCIHFET-UHFFFAOYSA-N,"aromatic, floral, fresh, herbal, citrus, green, woody, grapefruit","frozenset({'grapefruit', 'citrus', 'aromatic', 'green', 'woody', 'herbal', 'floral', 'fresh'})",8
SML0009,1,G002,15,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,"alcoholic, ethereal, fermented, solvent, winey, fatty, cocoa, leathery","frozenset({'fatty', 'cocoa', 'winey', 'leathery', 'fermented', 'solvent', 'alcoholic', 'ethereal'})",8
SML0130,1,G002,15,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,"fishy, pungent, fruity, oily","frozenset({'fishy', 'fruity', 'oily', 'pungent'})",4
SML0166,1,G002,15,CCCC(C)C=O,FTZILAQGHINQQR-UHFFFAOYSA-N,"cheesy, cocoa, fruity, green, vegetable, ethereal","frozenset({'cocoa', 'cheesy', 'green', 'fruity', 'vegetable', 'ethereal'})",6
SML0217,1,G002,15,CC(C)CS,BDFAOUQQXJIZDG-UHFFFAOYSA-N,"garlic, onion, vegetable, sulfurous, cooked","frozenset({'onion', 'garlic', 'sulfurous', 'cooked', 'vegetable'})",5
SML0230,1,G002,15,CC(C)[C@]12CCC(=C)[C@H]1C2,NDVASEGYNIMXJL-NXEZZACHSA-N,,frozenset(),0
SML0290,1,G002,15,CCCC(CCO)S,TYZFMFVWHZKYSE-UHFFFAOYSA-N,"alliaceous, fruity, grapefruit, meaty, tropical, sulfurous, chicken, savory","frozenset({'tropical', 'grapefruit', 'meaty', 'alliaceous', 'sulfurous', 'savory', 'fruity', 'chicken'})",8
SML0310,1,G002,15,CSSSC,YWHLKYXPLRWGSE-UHFFFAOYSA-N,"cabbage, garlic, onion, vegetable, meaty, sulfurous, savory, alliaceous, fresh, cooked","frozenset({'cabbage', 'meaty', 'savory', 'alliaceous', 'onion', 'garlic', 'sulfurous', 'cooked', 'vegetable', 'fresh'})",10
SML0317,1,G002,15,CCC(C)C(=O)OCC,HCRBXQFHJMCTLF-UHFFFAOYSA-N,"apple, fruity, green, strawberry, sweet, estery, berry, fresh, tropical, sharp","frozenset({'sharp', 'sweet', 'tropical', 'green', 'strawberry', 'apple', 'estery', 'fruity', 'fresh', 'berry'})",10
SML0454,1,G002,15,CCC(C)O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,"alcoholic, fermented, oily, solvent, winey, sweet, fruity, apricot","frozenset({'oily', 'sweet', 'apricot', 'winey', 'fermented', 'solvent', 'fruity', 'alcoholic'})",8
SML0464,1,G002,15,CC(C)CN,KDSNLYIMUZNERS-UHFFFAOYSA-N,"cheesy, fishy, malty, ripe","frozenset({'ripe', 'fishy', 'cheesy', 'malty'})",4
SML0488,1,G002,15,CCN(CC)CC,ZMANZCXQSJIPKH-UHFFFAOYSA-N,"cheesy, fishy, ripe","frozenset({'fishy', 'cheesy', 'ripe'})",3
SML0503,1,G002,15,CCCCOC=O,NMJJFJNHVMGPGM-UHFFFAOYSA-N,"ethereal, plum, rummy, fruity, brandy","frozenset({'rummy', 'brandy', 'plum', 'fruity', 'ethereal'})",5
SML0521,1,G002,15,CC(=C)[C@H]1CCC2(C(C1)O2)C,CCEFMUBVSUDRLG-IDKOKCKLSA-N,minty,frozenset({'minty'}),1
SML0525,1,G002,15,CC(=C)C1CCC2(C(C1)O2)C,CCEFMUBVSUDRLG-UHFFFAOYSA-N,"citrus, fruity, herbal, sweet, clean, fresh, minty","frozenset({'sweet', 'minty', 'citrus', 'clean', 'herbal', 'fruity', 'fresh'})",7
SML0527,1,G002,15,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N,"garlic, meaty, savory, sulfurous, tomato, ethereal","frozenset({'meaty', 'savory', 'tomato', 'garlic', 'sulfurous', 'ethereal'})",6
SML0021,7,G003,14,CCCCCCCCCCCCCCCC(=O)OCC,XIRNKXNNONJFQO-UHFFFAOYSA-N,"sweet, waxy, fruity, oily, creamy, balsamic, milky","frozenset({'oily', 'sweet', 'waxy', 'milky', 'creamy', 'fruity', 'balsamic'})",7
SML0189,7,G003,14,CCCCC/C=C/CCC=O,CWRKZMLUDFBPAO-VOTSOKGWSA-N,"citrus, fresh, fruity, orange, aldehydic, fatty, green","frozenset({'aldehydic', 'fatty', 'orange', 'citrus', 'green', 'fruity', 'fresh'})",7
SML0195,7,G003,14,CCCCCC(=O)C=C,KLTVSWGXIAYTHO-UHFFFAOYSA-N,"metallic, mushroom, vegetable, musty, chicken, herbal, savory, cabbage, fishy, earthy","frozenset({'musty', 'cabbage', 'metallic', 'fishy', 'earthy', 'savory', 'mushroom', 'herbal', 'vegetable', 'chicken'})",10
SML0204,7,G003,14,C1CCCCC(=O)CCCC1,SXOZDDAFVJANJP-UHFFFAOYSA-N,,frozenset(),0
SML0205,7,G003,14,C1CCCCCC(=O)CCCC1,UPOSSYJVWXLPTA-UHFFFAOYSA-N,,frozenset(),0
SML0415,7,G003,14,CCCCC(CC)CO,YIWUKEYIRIRTPP-UHFFFAOYSA-N,"fermented, oily, rose, sweet, floral, fresh, citrus","frozenset({'oily', 'sweet', 'citrus', 'fermented', 'rose', 'floral', 'fresh'})",7
SML0418,7,G003,14,CCCCC(CCC)O,WOFPPJOZXUTRAU-UHFFFAOYSA-N,,frozenset(),0
SML0444,7,G003,14,CCCCC/C=C/C=O,LVBXEMGDVWVTGY-VOTSOKGWSA-N,"fatty, green, vegetable, leafy, banana, herbal, cucumber, fresh, waxy","frozenset({'fatty', 'leafy', 'cucumber', 'waxy', 'green', 'banana', 'vegetable', 'fresh', 'herbal'})",9
SML0540,7,G003,14,CCC(=C)CCCC(C)(C)O,VOATZOQREKBJMT-UHFFFAOYSA-N,,frozenset(),0
SML0553,7,G003,14,CCCCCCCCC/C=C/C=O,SSNZFFBDIMUILS-ZHACJKMWSA-N,"orange, waxy, metallic, aldehydic, herbal, citrus","frozenset({'aldehydic', 'metallic', 'orange', 'citrus', 'waxy', 'herbal'})",6
SML0674,7,G003,14,CC(C)(CCC1CCCCC1)O,KZZASWGRLOTITL-UHFFFAOYSA-N,floral,frozenset({'floral'}),1
SML0679,7,G003,14,CC(C)CCCC(C)CCO,PRNCMAKCNVRZFX-UHFFFAOYSA-N,"rose, sweet, waxy, musty, aldehydic, green, soapy, citrus, leathery","frozenset({'aldehydic', 'musty', 'soapy', 'sweet', 'citrus', 'waxy', 'leathery', 'green', 'rose'})",9
SML0705,7,G003,14,CCCCCCC(C)(CC)O,VZBFPIMCUSPDLS-UHFFFAOYSA-N,,frozenset(),0
SML0734,7,G003,14,CCCC(=O)OC/C=C(\C)/CCC=C(C)C,ZSBOMYJPSRFZAL-JLHYYAGUSA-N,"fruity, rose, sweet, apricot, fresh, raspberry, green, tropical, peach, waxy","frozenset({'sweet', 'peach', 'tropical', 'apricot', 'waxy', 'green', 'rose', 'fruity', 'raspberry', 'fresh'})",10
SML0015,1,G004,9,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,"pungent, sour, acidic, sharp","frozenset({'sour', 'sharp', 'acidic', 'pungent'})",4
SML0030,1,G004,9,CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,"buttery, sour, odorless","frozenset({'buttery', 'odorless', 'sour'})",3
SML0049,1,G004,9,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,"milky, pungent, sour, acidic, dairy, cheesy","frozenset({'acidic', 'cheesy', 'pungent', 'milky', 'dairy', 'sour'})",6
SML0162,1,G004,9,CCCCC(C(=O)O)Br,HZTPKMIMXLTOSK-UHFFFAOYSA-N,,frozenset(),0
SML0226,1,G004,9,CCCC(=CC(=O)O)C,NTWSIWWJPQHFTO-UHFFFAOYSA-N,,frozenset(),0
SML0602,1,G004,9,C[C@H](C(=O)N[C@H](C)C(=O)O)N,DEFJQIDDEAULHB-QWWZWVQMSA-N,,frozenset(),0
SML0608,1,G004,9,C([C@@H](C(=O)O)O)O,RBNPOMFGQQGHHO-REOHCLBHSA-N,,frozenset(),0
SML0611,1,G004,9,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,RFMMMVDNIPUKGG-YFKPBYRVSA-N,,frozenset(),0
SML0617,1,G004,9,C(CC(=O)O)C(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,odorless,frozenset({'odorless'}),1
SML0040,1,G005,8,CC1=CC(=CC=C1)C,IVSZLXZYQVIEFR-UHFFFAOYSA-N,,frozenset(),0
SML0106,1,G005,8,CCCCCCOC(=O)CCC,XAPCMTMQBXLDBB-UHFFFAOYSA-N,"fruity, sweet, vegetable, estery, apple, green, soapy, waxy","frozenset({'soapy', 'sweet', 'waxy', 'green', 'estery', 'apple', 'fruity', 'vegetable'})",8
SML0224,1,G005,8,C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,,frozenset(),0
SML0259,1,G005,8,CCOC(C)OCC,DHKHKXVYLBGOIT-UHFFFAOYSA-N,"alcoholic, fruity, green, sweet, vegetable, nutty, ethereal, earthy","frozenset({'sweet', 'earthy', 'nutty', 'alcoholic', 'green', 'fruity', 'vegetable', 'ethereal'})",8
SML0352,1,G005,8,CCC(C)COC(=O)C,XHIUFYZDQBSEMF-UHFFFAOYSA-N,"apple, banana, ethereal, fruity, sweet, estery, ripe, tropical","frozenset({'sweet', 'tropical', 'ripe', 'apple', 'banana', 'estery', 'fruity', 'ethereal'})",8
SML0358,1,G005,8,CC1=CCC(C=C1)C(C)C,OGLDWXZKYODSOB-UHFFFAOYSA-N,"citrus, fresh, minty, spicy, woody","frozenset({'spicy', 'minty', 'citrus', 'woody', 'fresh'})",5
SML0375,1,G005,8,CC(=O)CC(C)(C)S,QRNZMFDCKKEPSX-UHFFFAOYSA-N,"fruity, meaty, savory, tropical, sulfurous, green","frozenset({'tropical', 'meaty', 'savory', 'sulfurous', 'green', 'fruity'})",6
SML0566,1,G005,8,CC(C(=O)C)C(=O)C,GSOHKPVFCOWKPU-UHFFFAOYSA-N,"burnt, fruity, ketonic","frozenset({'fruity', 'ketonic', 'burnt'})",3
SML0245,4,G006,7,CCCC[C@H]1[C@H](CC(=O)O1)C,WNVCMFHPRIBNCW-YUMQZZPRSA-N,coconut,frozenset({'coconut'}),1
SML0335,4,G006,7,CC(=CCCC(=C)C=C)C,UAHWPYUMFXYFJY-UHFFFAOYSA-N,"spicy, peppery, terpenic, herbal, rose, balsamic, woody, celery","frozenset({'spicy', 'peppery', 'rose', 'terpenic', 'woody', 'herbal', 'celery', 'balsamic'})",8
SML0455,4,G006,7,CCCCC[C@@H](C)O,CETWDUZRCINIHU-SSDOTTSWSA-N,"sweet, fruity, fatty, oily","frozenset({'fatty', 'fruity', 'oily', 'sweet'})",4
SML0456,4,G006,7,CCCCCC(C)(C)O,ACBMYYVZWKYLIP-UHFFFAOYSA-N,,frozenset(),0
SML0466,4,G006,7,CCCCOC,CXBDYQVECUFKRK-UHFFFAOYSA-N,,frozenset(),0
SML0547,4,G006,7,CCCCCCCCCCOC(=O)C,NUPSHWCALHZGOV-UHFFFAOYSA-N,"fatty, fruity, orange, pineapple, rose, sweet, clean, creamy, fresh, soapy, citrus, waxy","frozenset({'soapy', 'fatty', 'sweet', 'orange', 'citrus', 'waxy', 'clean', 'rose', 'creamy', 'fruity', 'pineapple', 'fresh'})",12
SML0715,4,G006,7,CCCCCC(CC)OC(=O)C,STZUZYMKSMSTOU-UHFFFAOYSA-N,"citrus, floral, green, minty, rose, waxy, aldehydic, fatty, herbal, apple, anisic, fresh, bergamot, woody, grapefruit","frozenset({'aldehydic', 'fatty', 'anisic', 'minty', 'grapefruit', 'bergamot', 'citrus', 'waxy', 'green', 'rose', 'woody', 'apple', 'herbal', 'floral', 'fresh'})",15
SML0084,3,G007,7,CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,"camphoreous, fruity, ketonic, solvent, sweet, ethereal","frozenset({'camphoreous', 'sweet', 'ketonic', 'solvent', 'fruity', 'ethereal'})",6
SML0092,3,G007,7,CC1(C2CCC(O1)(CC2)C)C,WEEGYLXZBRQIMU-UHFFFAOYSA-N,"camphoreous, fresh, herbal, medicinal","frozenset({'medicinal', 'camphoreous', 'fresh', 'herbal'})",4
SML0173,3,G007,7,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,"animal, fishy","frozenset({'fishy', 'animal'})",2
SML0331,3,G007,7,CCCCCCOC(=O)C,AOGQPLXWSUTHQB-UHFFFAOYSA-N,"apple, fruity, pear, sweet, fatty, banana, fresh, green","frozenset({'pear', 'fatty', 'sweet', 'green', 'apple', 'banana', 'fruity', 'fresh'})",8
SML0334,3,G007,7,CCCSSSC,ZOYASYRPGHCQHW-UHFFFAOYSA-N,"garlic, green, onion, sweet, metallic, clean, sulfurous, cooked","frozenset({'sweet', 'metallic', 'clean', 'onion', 'green', 'garlic', 'sulfurous', 'cooked'})",8
SML0461,3,G007,7,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,"ethereal, fruity, rummy, strawberry, apple, fresh","frozenset({'rummy', 'strawberry', 'apple', 'fruity', 'fresh', 'ethereal'})",6
SML0462,3,G007,7,CCC(=O)OC(C)(C)C,JAELLLITIZHOGQ-UHFFFAOYSA-N,"brandy, fruity, rummy","frozenset({'fruity', 'rummy', 'brandy'})",3
SML0126,5,G008,7,CCCCCC/C=C/C=O,BSAIUMLZVGUGKX-BQYQJAHWSA-N,"cucumber, fatty, melon, orris, waxy, aldehydic, green, citrus","frozenset({'aldehydic', 'melon', 'fatty', 'cucumber', 'citrus', 'waxy', 'orris', 'green'})",8
SML0191,5,G008,7,CCCC/C=C/C=C/C=O,ZHHYXNZJDGDGPJ-BSWSSELBSA-N,"chicken, fatty, nutty, melon, cucumber, green, waxy","frozenset({'fatty', 'melon', 'nutty', 'cucumber', 'waxy', 'green', 'chicken'})",7
SML0192,5,G008,7,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,CXENHBSYCFFKJS-VDQVFBMKSA-N,"apple, berry, citrus, green, herbal, vegetable, floral, lavender, bergamot, woody","frozenset({'bergamot', 'citrus', 'green', 'woody', 'apple', 'herbal', 'floral', 'lavender', 'vegetable', 'berry'})",10
SML0233,5,G008,7,CC/C=C\CC/C=C/CO,AMXYRHBJZOVHOL-ODYTWBPASA-N,"cucumber, green, herbal, violet, leafy, fatty, nutty, oily","frozenset({'fatty', 'oily', 'leafy', 'nutty', 'cucumber', 'green', 'herbal', 'violet'})",8
SML0254,5,G008,7,CCCCC/C=C\C=O,LVBXEMGDVWVTGY-SREVYHEPSA-N,"leafy, fatty, fruity, green","frozenset({'leafy', 'fatty', 'green', 'fruity'})",4
SML0355,5,G008,7,CC/C=C/CC/C=C/CO,AMXYRHBJZOVHOL-DYWGDJMRSA-N,green,frozenset({'green'}),1
SML0453,5,G008,7,CCCCC(=O)C,QQZOPKMRPOGIEB-UHFFFAOYSA-N,"cheesy, dairy, fruity, ketonic, buttery, meaty","frozenset({'meaty', 'ketonic', 'dairy', 'cheesy', 'buttery', 'fruity'})",6
SML0076,6,G009,6,C1CCCCCCOC(=O)/C=C/CCCCC1,KHLFMZDGADSQGR-ACCUITESSA-N,"sweet, musk, waxy","frozenset({'waxy', 'musk', 'sweet'})",3
SML0209,6,G009,6,C[C@@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-OAHLLOKOSA-N,"powdery, animal, musk","frozenset({'powdery', 'musk', 'animal'})",3
SML0387,6,G009,6,C1CCC/C=C/CCCCCCC(=O)CCC1,ZGEHHVDYDNXYMW-OWOJBTEDSA-N,,frozenset(),0
SML0664,6,G009,6,C1CCCCCC(=O)CCC/C=C\CCCC1,ABRIMXGLNHCLIP-VURMDHGXSA-N,"dry, amber, powdery, musk","frozenset({'powdery', 'amber', 'musk', 'dry'})",4
SML0668,6,G009,6,CC1CCOC(=O)CCCCCCC/C=C\C1,NUSRNVWNTPMBJA-VURMDHGXSA-N,,frozenset(),0
SML0738,6,G009,6,CC1CC=CCCCCCCCCC(=O)C1,ZFGBKXBPHOUSJX-UHFFFAOYSA-N,"animal, fatty, powdery, anisic, woody, musk","frozenset({'fatty', 'anisic', 'musk', 'woody', 'powdery', 'animal'})",6
SML0385,8,G010,6,C1CCCCCC(=O)CCCC=CCCCC1,ABRIMXGLNHCLIP-UHFFFAOYSA-N,,frozenset(),0
SML0662,8,G010,6,C1CCCCCC(=O)CCC=CCCCC1,JIYIHILAGIZIMD-UHFFFAOYSA-N,,frozenset(),0
SML0667,8,G010,6,C1CCCCCOCCCCOC(=O)CCCC1,MRMOPGVGWFNHIN-UHFFFAOYSA-N,"sweet, fruity, woody, musk, waxy","frozenset({'sweet', 'waxy', 'musk', 'woody', 'fruity'})",5
SML0670,8,G010,6,C1CCCCOCCCCCCOC(=O)CCC1,MZLRFHKWWCSGHB-UHFFFAOYSA-N,"sweet, animal, floral, fruity, oily, musk","frozenset({'oily', 'sweet', 'musk', 'floral', 'fruity', 'animal'})",6
SML0686,8,G010,6,CCC(C1CCCC/C=C\C1)O,LLYJRIQMURUPPF-XQRVVYSFSA-N,,frozenset(),0
SML0694,8,G010,6,CCCCCCCCC(C)C#N,XPCSGXMQGQGBKU-UHFFFAOYSA-N,"floral, fruity, jasmine, peach, lactonic","frozenset({'jasmine', 'lactonic', 'peach', 'floral', 'fruity'})",5
SML0127,2,G011,6,CCC(=O)C=C,JLIDVCMBCGBIEY-UHFFFAOYSA-N,"alliaceous, pungent, radish, spicy, peppery, garlic, onion, ethereal","frozenset({'spicy', 'alliaceous', 'pungent', 'peppery', 'onion', 'garlic', 'radish', 'ethereal'})",8
SML0218,2,G011,6,C1CCN(CC1)C=O,FEWLNYSYJNLUOO-UHFFFAOYSA-N,,frozenset(),0
SML0300,2,G011,6,CC1=CC=C(C=C1)O,IWDCLRJOBJJRNH-UHFFFAOYSA-N,"animal, medicinal, phenolic, smoky","frozenset({'smoky', 'medicinal', 'phenolic', 'animal'})",4
SML0304,2,G011,6,CSCC=C,NVLPQIPTCCLBEU-UHFFFAOYSA-N,"garlic, onion, sulfurous, alliaceous","frozenset({'onion', 'alliaceous', 'sulfurous', 'garlic'})",4
SML0321,2,G011,6,CCOC(=O)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,"brandy, ethereal, sharp, winey, sweet, rummy, grape, weedy, fruity, green","frozenset({'sharp', 'sweet', 'weedy', 'rummy', 'winey', 'brandy', 'green', 'grape', 'fruity', 'ethereal'})",10
SML0374,2,G011,6,CCC1=CC(=C(C=C1)O)OC,CHWNEIVBYREQRF-UHFFFAOYSA-N,"phenolic, smoky, spicy, vanilla, sweet, medicinal, woody, clove","frozenset({'clove', 'spicy', 'smoky', 'phenolic', 'sweet', 'medicinal', 'woody', 'vanilla'})",8
SML0206,8,G012,5,CCCCCCCCCCCCCC(=O)C,CJPNOLIZCWDHJK-UHFFFAOYSA-N,"dairy, fatty, fruity, waxy, floral, oily, burnt, fresh, jasmine, celery","frozenset({'fatty', 'jasmine', 'oily', 'waxy', 'burnt', 'floral', 'dairy', 'fruity', 'celery', 'fresh'})",10
SML0574,8,G012,5,CCCCCCCCCC(C)C=O,NFAVNWJJYQAGNB-UHFFFAOYSA-N,"dry, fatty, fruity, metallic, aldehydic, amber, fresh, coumarinic, citrus, waxy","frozenset({'aldehydic', 'fatty', 'amber', 'coumarinic', 'dry', 'metallic', 'citrus', 'waxy', 'fruity', 'fresh'})",10
SML0655,8,G012,5,CCC(C)CCCC(C)(C)O,WRFXXJKURVTLSY-UHFFFAOYSA-N,"citrus, floral, sweet, fresh, lily","frozenset({'sweet', 'citrus', 'lily', 'floral', 'fresh'})",5
SML0671,8,G012,5,CC(CCCC(C)(C)O)C=C,XSNQECSCDATQEL-UHFFFAOYSA-N,"citrus, floral, fresh, herbal, clean, weedy","frozenset({'weedy', 'citrus', 'clean', 'herbal', 'floral', 'fresh'})",6
SML0688,8,G012,5,CC(C)CCCC(C)CC#N,SAPMLSXAXRULJB-UHFFFAOYSA-N,"metallic, aldehydic, fatty, lemon, citrus","frozenset({'aldehydic', 'fatty', 'metallic', 'citrus', 'lemon'})",5
SML0178,6,G013,5,CCCCC/C=C/C=C/C=O,JZQKTMZYLHNFPL-BLHCBFLLSA-N,"citrus, fatty, chicken, melon, cucumber, nutty, oily, brothy","frozenset({'brothy', 'fatty', 'melon', 'oily', 'nutty', 'cucumber', 'citrus', 'chicken'})",8
SML0183,6,G013,5,CC/C=C\CCCCCC=O,UZFFFFWQKMPLAC-ARJAWSKDSA-N,"aldehydic, citrus, cucumber","frozenset({'aldehydic', 'cucumber', 'citrus'})",3
SML0423,6,G013,5,CCCCCCC(=O)C,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,"apple, cheesy, fatty, fruity, green, musty, natural, weedy, herbal, woody, earthy, dairy, ketonic","frozenset({'fatty', 'musty', 'weedy', 'earthy', 'ketonic', 'cheesy', 'green', 'natural', 'woody', 'apple', 'herbal', 'dairy', 'fruity'})",13
SML0517,6,G013,5,CCCC/C=C\CCCCC=O,YBBNUDDZOWRHOD-WAYWQWQTSA-N,,frozenset(),0
SML0538,6,G013,5,CC/C=C\CCCCC=O,RTNPCOBSXBGDMO-ARJAWSKDSA-N,"citrus, cucumber, fresh, vegetable, melon, green, woody, orris, waxy","frozenset({'melon', 'cucumber', 'citrus', 'waxy', 'green', 'orris', 'woody', 'vegetable', 'fresh'})",9
SML0680,9,G014,5,CCCCCCCCN1CCCC1=O,WPPOGHDFAVQKLN-UHFFFAOYSA-N,,frozenset(),0
SML0689,9,G014,5,CC/C=C\CCCCO,VDHRTASWKDTLER-ARJAWSKDSA-N,"fruity, green, melon, mushroom","frozenset({'melon', 'fruity', 'green', 'mushroom'})",4
SML0690,9,G014,5,CC/C=C\CCCCCO,XJHRZBIBSSVCEL-ARJAWSKDSA-N,"fruity, green, melon, waxy, juicy, vegetable, clean, fatty, cucumber, fresh","frozenset({'melon', 'fatty', 'juicy', 'cucumber', 'waxy', 'clean', 'green', 'fruity', 'vegetable', 'fresh'})",10
SML0708,9,G014,5,CCCCCC1CCCC1=O,VNWOJVJCRAHBJJ-UHFFFAOYSA-N,"floral, rose, herbal, oily, coconut, green, jasmine","frozenset({'oily', 'coconut', 'green', 'rose', 'herbal', 'floral', 'jasmine'})",7
SML0714,9,G014,5,CCCCCCCCC=CC#N,HETFMJQWNWIBPN-UHFFFAOYSA-N,,frozenset(),0
SML0125,1,G015,4,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,"cheesy, sour, fruity, acidic, tobacco, milky, sharp","frozenset({'sharp', 'tobacco', 'acidic', 'cheesy', 'milky', 'fruity', 'sour'})",7
SML0556,1,G015,4,C(CCBr)CC(=O)O,WNXNUPJZWYOKMW-UHFFFAOYSA-N,,frozenset(),0
SML0740,1,G015,4,CCCCC(C)C(=O)O,CVKMFSAVYPAZTQ-UHFFFAOYSA-N,"fatty, chicken, fruity, acidic, savory, oily, roasted, cheesy","frozenset({'fatty', 'oily', 'savory', 'acidic', 'cheesy', 'roasted', 'fruity', 'chicken'})",8
SML0742,1,G015,4,CCC/C(=C/C(=O)O)/C,NTWSIWWJPQHFTO-AATRIKPKSA-N,,frozenset(),0
SML0210,7,G016,4,C[C@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-HNNXBMFYSA-N,,frozenset(),0
