molecule,n_receptors,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0034,20,1,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,DRLFMBDRBRZALE-UHFFFAOYSA-N,,frozenset(),0
SML0038,14,1,CCCCCCCC(=O)OC,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,"fruity, orange, winey, sweet, vegetable, aldehydic, herbal, green, waxy","frozenset({'aldehydic', 'sweet', 'orange', 'winey', 'waxy', 'green', 'herbal', 'fruity', 'vegetable'})",9
SML0041,11,1,CCCCCCCCC=O,GYHFUZHODSMOHU-UHFFFAOYSA-N,"fatty, floral, rose, waxy, aldehydic, cucumber, fresh, green, orris, citrus","frozenset({'aldehydic', 'fatty', 'cucumber', 'citrus', 'waxy', 'green', 'orris', 'rose', 'floral', 'fresh'})",10
SML0042,3,1,CC1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-UHFFFAOYSA-N,"musk, sweet, natural, animal, fatty, floral, powdery, soapy","frozenset({'soapy', 'fatty', 'sweet', 'natural', 'musk', 'floral', 'powdery', 'animal'})",8
SML0043,17,1,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,odorless,frozenset({'odorless'}),1
SML0044,6,1,CCCCCCCC=O,NUJGJRNETVAIRJ-UHFFFAOYSA-N,"fatty, fruity, aldehydic, herbal, fresh, orange, green, citrus, waxy","frozenset({'aldehydic', 'fatty', 'orange', 'citrus', 'waxy', 'green', 'herbal', 'fruity', 'fresh'})",9
SML0045,18,1,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,"odorless, creamy, fatty, waxy","frozenset({'waxy', 'fatty', 'odorless', 'creamy'})",4
SML0046,9,1,COC1=CC=C(C=C1)C=O,ZRSNZINYAWTAHE-UHFFFAOYSA-N,"anisic, floral, fruity, hay, herbal, sweet, vanilla, powdery, hawthorn","frozenset({'anisic', 'sweet', 'powdery', 'hay', 'hawthorn', 'herbal', 'floral', 'fruity', 'vanilla'})",9
SML0047,5,1,CC1=CC=C(C=C1)C(C)C,HFPZCAJZSCWRBC-UHFFFAOYSA-N,"citrus, fresh, woody","frozenset({'woody', 'fresh', 'citrus'})",3
SML0048,19,1,CCCCCCCCCCCCCCC(=O)O,WQEPLUUGTLDZJY-UHFFFAOYSA-N,"fatty, waxy","frozenset({'waxy', 'fatty'})",2
SML0051,20,1,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,"odorless, oily, waxy, fatty, pineapple, coconut, soapy","frozenset({'soapy', 'fatty', 'oily', 'coconut', 'waxy', 'odorless', 'pineapple'})",7
SML0052,8,1,CCCCCCCCCCC=O,KMPQYAYAQWNLME-UHFFFAOYSA-N,"citrus, fatty, floral, sweet, waxy, aldehydic, pineapple, orange, green, soapy","frozenset({'aldehydic', 'fatty', 'soapy', 'sweet', 'orange', 'citrus', 'waxy', 'green', 'floral', 'pineapple'})",10
SML0053,3,1,COC1=C(C=CC(=C1)C=O)O,MWOOGOJBHIARFG-UHFFFAOYSA-N,"creamy, vanilla, sweet, chocolate","frozenset({'chocolate', 'vanilla', 'sweet', 'creamy'})",4
SML0055,11,1,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,"orange, rose, sweet, waxy, aldehydic, mushroom, fatty, floral, coconut, green, citrus","frozenset({'aldehydic', 'fatty', 'sweet', 'orange', 'coconut', 'mushroom', 'waxy', 'citrus', 'green', 'rose', 'floral'})",11
SML0056,8,1,CC1CCC2=NC=CN=C12,YZEFQPIMXZVPKP-UHFFFAOYSA-N,,frozenset(),0
SML0057,11,1,CCCCCCC(=O)O,MNWFXJYAOYHMED-UHFFFAOYSA-N,"fatty, sour, fermented, fruity, pineapple, cheesy, waxy","frozenset({'fatty', 'cheesy', 'waxy', 'fermented', 'fruity', 'pineapple', 'sour'})",7
SML0058,4,1,CCCCCC(=O)O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,"cheesy, fatty, sour","frozenset({'fatty', 'cheesy', 'sour'})",3
SML0059,9,1,C=CC1=NC=CN=C1,KANZWHBYRHQMKZ-UHFFFAOYSA-N,"burnt, green, nutty","frozenset({'nutty', 'green', 'burnt'})",3
SML0061,26,1,CCCCCCCC(=O)O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,"animal, fatty, vegetable, oily, cheesy, waxy","frozenset({'fatty', 'oily', 'cheesy', 'waxy', 'vegetable', 'animal'})",6
SML0062,6,1,CC1=NC=CN=C1C,OXQOBQJCDNLAPO-UHFFFAOYSA-N,"caramellic, cocoa, coffee, green, meaty, nutty, potato, musty, powdery, roasted","frozenset({'musty', 'cocoa', 'meaty', 'nutty', 'powdery', 'green', 'potato', 'coffee', 'roasted', 'caramellic'})",10
SML0063,5,1,COC1=NC=CN=C1,WKSXRWSOSLGSTN-UHFFFAOYSA-N,"cocoa, earthy, green, nutty, roasted, sweet, winey, chocolate","frozenset({'chocolate', 'cocoa', 'sweet', 'earthy', 'nutty', 'winey', 'green', 'roasted'})",8
SML0064,21,1,CC(=O)C1=NC=CN=C1,DBZAKQWXICEWNW-UHFFFAOYSA-N,"nutty, popcorn, musty, potato, coffee, roasted, hazelnut, chocolate","frozenset({'chocolate', 'musty', 'nutty', 'hazelnut', 'potato', 'coffee', 'roasted', 'popcorn'})",8
SML0066,9,1,CCC(C)C1=NC=CN=C1OC,QMQDJVIJVPEQHE-UHFFFAOYSA-N,"green, musty, vegetable, peppery, potato, nutty","frozenset({'musty', 'nutty', 'peppery', 'green', 'potato', 'vegetable'})",6
SML0069,12,1,COC1=C(C=C(C=C1)CC=C)OC,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,"herbal, musty, spicy, tea, sweet, vegetable, warm, cinnamon, peppery, phenolic, fresh, clove, waxy","frozenset({'clove', 'musty', 'spicy', 'warm', 'phenolic', 'sweet', 'waxy', 'tea', 'peppery', 'herbal', 'cinnamon', 'vegetable', 'fresh'})",13
SML0070,5,1,CCC1=NC=CN=C1CC,GZXXANJCCWGCSV-UHFFFAOYSA-N,"earthy, nutty, potato, roasted","frozenset({'earthy', 'nutty', 'potato', 'roasted'})",4
SML0072,3,1,CC(C)(C)C1=CC=CC=C1,YTZKOQUCBOVLHL-UHFFFAOYSA-N,,frozenset(),0
SML0073,27,1,CC(CC=O)C1=CC=CC=C1,MYHGOWDLVRDUFA-UHFFFAOYSA-N,"herbal, hyacinth, green","frozenset({'green', 'hyacinth', 'herbal'})",3
SML0074,29,1,CC(=CCC/C(=C\CO)/C)C,GLZPCOQZEFWAFX-YFHOEESVSA-N,"fresh, rose, sweet, natural, citrus","frozenset({'sweet', 'citrus', 'natural', 'rose', 'fresh'})",5
SML0075,3,1,C1CCCCCCCOC(=O)CCCCCC1,FKUPPRZPSYCDRS-UHFFFAOYSA-N,"musk, pear, sweet, natural, animal, fruity, powdery, tobacco, coumarinic, brown","frozenset({'pear', 'coumarinic', 'sweet', 'tobacco', 'powdery', 'natural', 'musk', 'fruity', 'brown', 'animal'})",10
SML0077,14,1,CCCCCOC(=O)C,PGMYKACGEOXYJE-UHFFFAOYSA-N,"banana, ethereal, fruity, apple, pear","frozenset({'pear', 'apple', 'banana', 'fruity', 'ethereal'})",5
SML0078,6,1,C1CCC(=O)CC1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,"camphoreous, ketonic, minty, solvent, sweet","frozenset({'camphoreous', 'sweet', 'minty', 'ketonic', 'solvent'})",5
SML0079,9,1,CCCCCC(=O)C,CATSNJVOTSVZJV-UHFFFAOYSA-N,"cheesy, cinnamon, coconut, fruity, sweet, spicy, banana, herbal, creamy, green, woody, ketonic","frozenset({'spicy', 'sweet', 'ketonic', 'coconut', 'cheesy', 'green', 'woody', 'cinnamon', 'creamy', 'fruity', 'banana', 'herbal'})",12
SML0080,34,1,CC(=O)C1=CC=CC=C1,KWOLFJPFCHCOCG-UHFFFAOYSA-N,"cherry, pungent, sweet, vanilla, floral, nutty, coumarinic, hawthorn, almond, chemical","frozenset({'coumarinic', 'sweet', 'nutty', 'pungent', 'almond', 'chemical', 'cherry', 'hawthorn', 'floral', 'vanilla'})",10
SML0081,7,1,CC1C(=NC(S1)C)C,AIVVNNYXOSPRCW-UHFFFAOYSA-N,,frozenset(),0
SML0082,6,1,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],XMWRWTSZNLOZFN-UHFFFAOYSA-N,"dry, sweet, fatty, soapy, musk","frozenset({'soapy', 'fatty', 'dry', 'sweet', 'musk'})",5
SML0083,31,1,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,NOOLISFMXDJSKH-KXUCPTDWSA-N,"minty, mentholic, cooling","frozenset({'cooling', 'mentholic', 'minty'})",3
SML0085,18,1,CCCCCCC/C=C/C=O,MMFCJPPRCYDLLZ-CMDGGOBGSA-N,"chicken, earthy, fatty, green, mushroom, waxy, aldehydic","frozenset({'aldehydic', 'fatty', 'earthy', 'mushroom', 'waxy', 'green', 'chicken'})",7
SML0086,6,1,CCC1(C(C2CCC1(C2)C)(C)C)O,KIPCKEJKGCXRGA-UHFFFAOYSA-N,"earthy, musty, camphoreous","frozenset({'earthy', 'musty', 'camphoreous'})",3
SML0087,4,1,CC1=CC(=C(C=C1)O)OC,PETRWTHZSKVLRE-UHFFFAOYSA-N,"phenolic, smoky, spicy, sweet, vanilla, medicinal, burnt, woody, clove, leathery","frozenset({'clove', 'spicy', 'smoky', 'phenolic', 'sweet', 'medicinal', 'leathery', 'burnt', 'woody', 'vanilla'})",10
SML0088,6,1,CC(C)CCC(=O)O,FGKJLKRYENPLQH-UHFFFAOYSA-N,"cheesy, pungent, sour","frozenset({'sour', 'cheesy', 'pungent'})",3
SML0089,33,1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C,HFVMLYAGWXSTQI-QYXZOKGRSA-N,,frozenset(),0
SML0090,9,1,CC(C)(C)C1=CC=C(C=C1)CCC=O,FZJUFJKVIYFBSY-UHFFFAOYSA-N,"sweet, floral, fresh","frozenset({'floral', 'sweet', 'fresh'})",3
SML0091,2,1,CCCCOC(=O)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,"banana, fruity, pear, pineapple, sweet, solvent, ethereal, sharp","frozenset({'pear', 'sharp', 'sweet', 'solvent', 'banana', 'fruity', 'pineapple', 'ethereal'})",8
SML0093,7,1,CC/C=C\CCO,UFLHIIWVXFIJGU-ARJAWSKDSA-N,"fresh, grassy, green, vegetable, herbal, oily, pungent","frozenset({'oily', 'pungent', 'green', 'grassy', 'herbal', 'vegetable', 'fresh'})",7
SML0094,27,1,CC(=CCC/C(=C/C=O)/C)C,WTEVQBCEXWBHNA-JXMROGBWSA-N,"citrus, fresh, fruity, lemon","frozenset({'lemon', 'fruity', 'fresh', 'citrus'})",4
SML0095,6,1,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,"orange, sweet, waxy, aldehydic, floral, citrus","frozenset({'aldehydic', 'sweet', 'orange', 'citrus', 'waxy', 'floral'})",6
SML0096,4,1,CC(=O)C(=O)C,QSJXEFYPDANLFS-UHFFFAOYSA-N,"buttery, sweet, caramellic, creamy, pungent","frozenset({'sweet', 'pungent', 'creamy', 'buttery', 'caramellic'})",5
SML0097,3,1,C=CCSCC=C,UBJVUCKUDDKUJF-UHFFFAOYSA-N,"garlic, horseradish, pungent, sweet, metallic, sulfurous, onion","frozenset({'sweet', 'metallic', 'pungent', 'horseradish', 'onion', 'garlic', 'sulfurous'})",7
SML0098,2,1,C1=CC=C(C=C1)OC2=CC=CC=C2,USIUVYZYUHIAEV-UHFFFAOYSA-N,"floral, green, metallic, geranium, phenolic","frozenset({'phenolic', 'geranium', 'metallic', 'green', 'floral'})",5
SML0099,28,1,C1CCCCCC(=O)OCCOC(=O)CCCCC1,XRHCAGNSDHCHFJ-UHFFFAOYSA-N,"fatty, musk, oily, sweet, floral, powdery, woody","frozenset({'fatty', 'oily', 'sweet', 'musk', 'woody', 'floral', 'powdery'})",7
SML0100,89,1,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,SCCDQYPEOIRVGX-UHFFFAOYSA-N,"balsamic, fruity, spicy, sweet, malty, floral, fresh, woody, clove","frozenset({'clove', 'spicy', 'sweet', 'woody', 'malty', 'floral', 'fruity', 'balsamic', 'fresh'})",9
SML0101,2,1,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,LHXDLQBQYFFVNW-OIBJUYFYSA-N,"camphoreous, pine, sweet, herbal, earthy, woody","frozenset({'camphoreous', 'sweet', 'earthy', 'pine', 'woody', 'herbal'})",6
SML0102,11,1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,HNDHDMOSWUAEAW-VMXHOPILSA-N,,frozenset(),0
SML0103,74,1,CC(=CCC/C(=C/COC(=O)C)/C)C,HIGQPQRQIQDZMP-DHZHZOJOSA-N,"floral, fruity, green, rose, sweet, lavender, waxy","frozenset({'sweet', 'waxy', 'green', 'rose', 'floral', 'fruity', 'lavender'})",7
SML0104,7,1,COC1=CC=CC=C1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,"medicinal, phenolic, smoky, sweet, vanilla, meaty, spicy, savory, woody","frozenset({'spicy', 'smoky', 'phenolic', 'sweet', 'medicinal', 'meaty', 'savory', 'woody', 'vanilla'})",9
SML0105,4,1,CCCCCCCOC(=O)C,ZCZSIDMEHXZRLG-UHFFFAOYSA-N,"fatty, floral, fruity, aldehydic, rummy, winey, apricot, pear, fresh, green, woody, citrus, waxy","frozenset({'pear', 'aldehydic', 'fatty', 'rummy', 'winey', 'apricot', 'citrus', 'green', 'waxy', 'woody', 'floral', 'fruity', 'fresh'})",13
SML0107,5,1,CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C,KGEKLUUHTZCSIP-JFGNBEQYSA-N,"camphoreous, earthy, fruity, herbal, pine, woody","frozenset({'camphoreous', 'earthy', 'pine', 'woody', 'herbal', 'fruity'})",6
SML0108,5,1,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,"banana, cheesy, chocolate, fruity, green, floral, aldehydic, fresh, pungent","frozenset({'chocolate', 'aldehydic', 'cheesy', 'pungent', 'green', 'banana', 'floral', 'fruity', 'fresh'})",9
SML0109,5,1,CC(C)C(=O)O,KQNPFQTWMSNSAP-UHFFFAOYSA-N,"cheesy, fruity, sour, acidic, dairy, buttery","frozenset({'buttery', 'acidic', 'cheesy', 'dairy', 'fruity', 'sour'})",6
SML0110,117,1,C/C=C/C1=CC(=C(C=C1)O)OC,BJIOGJUNALELMI-ONEGZZNKSA-N,"sweet, spicy, floral, phenolic","frozenset({'floral', 'spicy', 'phenolic', 'sweet'})",4
SML0111,3,1,CS,LSDPWZHWYPCBBB-UHFFFAOYSA-N,"cabbage, vegetable, sulfurous, garlic, savory, alliaceous, oily, creamy","frozenset({'oily', 'cabbage', 'savory', 'alliaceous', 'garlic', 'creamy', 'sulfurous', 'vegetable'})",8
SML0112,2,1,COC(=O)C1=CC=CC=C1O,OSWPMRLSEDHDFF-UHFFFAOYSA-N,"sweet, warm, camphoreous, phenolic, minty, aromatic","frozenset({'warm', 'camphoreous', 'phenolic', 'minty', 'sweet', 'aromatic'})",6
SML0113,5,1,CCCCCCCCOC(=O)C,YLYBTZIQSIBWLI-UHFFFAOYSA-N,"citrus, floral, fruity, green, jasmine, orange, peach, mushroom, herbal, earthy, waxy","frozenset({'jasmine', 'peach', 'earthy', 'orange', 'citrus', 'mushroom', 'waxy', 'green', 'herbal', 'floral', 'fruity'})",11
SML0114,65,1,C1=CC=C(C=C1)CC=O,DTUQWGWMVIHBKE-UHFFFAOYSA-N,"floral, green, honey, rose, sweet, fermented, cocoa, powdery, earthy, hyacinth, chocolate","frozenset({'chocolate', 'sweet', 'cocoa', 'earthy', 'green', 'honey', 'rose', 'fermented', 'floral', 'powdery', 'hyacinth'})",11
SML0116,8,1,CC1=CCC(CC1)C(C)(C)O,WUOACPNHFRMFPN-UHFFFAOYSA-N,"floral, sweet, clean, herbal, fresh, woody, pine","frozenset({'sweet', 'clean', 'pine', 'woody', 'herbal', 'floral', 'fresh'})",7
SML0117,5,1,CC1=CCC(CC1)C(C)(C)OC(=O)C,IGODOXYLBBXFDW-UHFFFAOYSA-N,"herbal, spicy, sweet, lavender, bergamot, citrus","frozenset({'spicy', 'sweet', 'citrus', 'herbal', 'bergamot', 'lavender'})",6
SML0118,23,1,COC(=O)C1=CC=CC=C1,QPJVMBTYPHYUOC-UHFFFAOYSA-N,"floral, fruity, sweet, phenolic, almond","frozenset({'phenolic', 'sweet', 'almond', 'floral', 'fruity'})",5
SML0119,17,1,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],RMBFBMJGBANMMK-UHFFFAOYSA-N,,frozenset(),0
SML0120,159,1,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,ONKNPOPIGWHAQC-UHFFFAOYSA-N,"sweet, floral, musk","frozenset({'floral', 'musk', 'sweet'})",3
SML0123,9,1,CC(C)C1=NC=CN=C1OC,NTOPKICPEQUPPH-UHFFFAOYSA-N,"earthy, potato, vegetable, nutty, chocolate","frozenset({'chocolate', 'earthy', 'nutty', 'potato', 'vegetable'})",5
SML0124,10,1,CC(C)CC1=NC=CN=C1OC,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,green,frozenset({'green'}),1
SML0131,2,1,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,WXCMHFPAUCOJIG-UHFFFAOYSA-N,"dry, fatty, floral, powdery, soapy, musk","frozenset({'soapy', 'fatty', 'dry', 'musk', 'floral', 'powdery'})",6
SML0134,7,1,CCC1=NC=CN=C1,KVFIJIWMDBAGDP-UHFFFAOYSA-N,"buttery, musty, nutty, fermented, meaty, cocoa, coffee, roasted, woody","frozenset({'musty', 'cocoa', 'nutty', 'meaty', 'fermented', 'coffee', 'roasted', 'woody', 'buttery'})",9
SML0135,300,1,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,WTOYNNBCKUYIKC-JMSVASOKSA-N,"sweet, orange, citrus, woody, grapefruit","frozenset({'sweet', 'grapefruit', 'orange', 'citrus', 'woody'})",5
SML0136,33,1,CC(CC1=CC2=C(C=C1)OCO2)C=O,BOPPSUHPZARXTH-UHFFFAOYSA-N,"floral, green, hay, melon, ozone, fresh","frozenset({'melon', 'ozone', 'green', 'floral', 'hay', 'fresh'})",6
SML0137,21,1,CC1=CCC(CC1O)C(=C)C,BAVONGHXFVOKBV-UHFFFAOYSA-N,"sweet, spicy, herbal, cooling, green, minty","frozenset({'spicy', 'sweet', 'minty', 'green', 'herbal', 'cooling'})",6
SML0138,6,1,CC(CCC=C(C)C)CC(=O)O,GJWSUKYXUMVMGX-UHFFFAOYSA-N,"fatty, floral, green, waxy, vegetable, smoky, grassy, tobacco","frozenset({'fatty', 'smoky', 'tobacco', 'waxy', 'green', 'floral', 'vegetable', 'grassy'})",8
SML0140,13,1,CCCCCCCCCO,ZWRUINPWMLAQRD-UHFFFAOYSA-N,"fatty, floral, orange, rose, clean, oily, fresh","frozenset({'fatty', 'oily', 'orange', 'clean', 'rose', 'floral', 'fresh'})",7
SML0141,16,1,CC1=CC[C@H](CC1OC(=O)C)C(=C)C,YTHRBOFHFYZBRJ-JHJMLUEUSA-N,,frozenset(),0
SML0142,28,1,CCCCCCCCC(=O)O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,"cheesy, dairy, fatty, nutty, waxy","frozenset({'fatty', 'nutty', 'cheesy', 'waxy', 'dairy'})",5
SML0143,7,1,CCCCCC(C=C)O,VSMOENVRRABVKN-UHFFFAOYSA-N,"earthy, mushroom, sweet, vegetable, chicken, oily, green","frozenset({'oily', 'sweet', 'earthy', 'mushroom', 'green', 'vegetable', 'chicken'})",7
SML0145,10,1,C(=CCl)Cl,KFUSEUYYWQURPO-UHFFFAOYSA-N,,frozenset(),0
SML0146,11,1,CC(CCCC(C)(C)O)CC=O,WPFVBOQKRVRMJB-UHFFFAOYSA-N,"floral, sweet, melon, green, lily, tropical, waxy","frozenset({'melon', 'sweet', 'tropical', 'waxy', 'green', 'lily', 'floral'})",7
SML0147,159,1,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,DNRJTBAOUJJKDY-UHFFFAOYSA-N,"sweet, fruity, amber, powdery, musk","frozenset({'amber', 'sweet', 'powdery', 'musk', 'fruity'})",5
SML0148,23,1,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,IKTHMQYJOWTSJO-UHFFFAOYSA-N,"animal, cedar, woody, musk","frozenset({'cedar', 'musk', 'woody', 'animal'})",4
SML0149,9,1,CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C,MIZGSAALSYARKU-UHFFFAOYSA-N,"spicy, clean, woody, musk","frozenset({'clean', 'spicy', 'musk', 'woody'})",4
SML0150,34,1,CC(=CCCC(=CC=O)C)C,WTEVQBCEXWBHNA-UHFFFAOYSA-N,"lemon, sweet, sharp","frozenset({'lemon', 'sharp', 'sweet'})",3
SML0151,12,1,C[C@H](CCC=C(C)C)CCO,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,"rose, leafy, floral, oily","frozenset({'leafy', 'rose', 'oily', 'floral'})",4
SML0152,18,1,CC(=CCC/C(=C/C#N)/C)C,HLCSDJLATUNSSI-JXMROGBWSA-N,"fruity, green, lemon, sweet, metallic, sharp","frozenset({'sharp', 'sweet', 'metallic', 'lemon', 'green', 'fruity'})",6
SML0156,17,1,CC(=O)CCC1=CC=C(C=C1)O,NJGBTKGETPDVIK-UHFFFAOYSA-N,"fruity, sweet, ripe, berry, floral, jammy, raspberry, woody","frozenset({'sweet', 'jammy', 'woody', 'ripe', 'floral', 'fruity', 'raspberry', 'berry'})",8
SML0158,6,1,CCCCCCO,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,"fatty, fruity, winey, sweet, pungent, herbal, oily, green, ethereal, alcoholic","frozenset({'fatty', 'oily', 'sweet', 'pungent', 'winey', 'alcoholic', 'green', 'herbal', 'fruity', 'ethereal'})",10
