leaf_id,uniprot,OR_class
9606.P47881,P47881,Class_II
9606.P47883,P47883,Class_II
9606.P47884,P47884,Class_II
9606.P47887,P47887,Class_II
9606.P47888,P47888,Class_II
9606.P47890,P47890,Class_II
9606.P47893,P47893,Class_II
9606.P58170,P58170,Class_II
9606.P58173,P58173,Class_II
9606.P58180,P58180,Class_II
9606.P58181,P58181,Class_II
9606.P58182,P58182,Class_II
9606.P59922,P59922,Class_II
9606.Q13606,Q13606,Class_II
9606.Q13607,Q13607,Class_II
9606.Q15612,Q15612,Class_II
9606.Q15615,Q15615,Class_II
9606.Q15617,Q15617,Class_II
9606.Q15619,Q15619,Class_II
9606.Q15620,Q15620,Class_II
9606.Q15622,Q15622,Class_II
9606.Q5JQS5,Q5JQS5,Class_II
9606.Q5JRS4,Q5JRS4,Class_II
9606.Q5TZ20,Q5TZ20,Class_II
9606.Q6IEU7,Q6IEU7,Class_II
9606.Q6IEV9,Q6IEV9,Class_II
9606.Q6IEY1,Q6IEY1,Class_II
9606.Q6IEZ7,Q6IEZ7,Class_II
9606.Q6IF00,Q6IF00,Class_II
9606.Q6IF36,Q6IF36,Class_II
9606.Q6IF42,Q6IF42,Class_II
9606.Q6IF82,Q6IF82,Class_II
9606.Q6IF99,Q6IF99,Class_II
9606.Q6IFH4,Q6IFH4,Class_II
9606.Q6IFN5,Q6IFN5,Class_II
9606.Q7Z3T1,Q7Z3T1,Class_II
9606.Q8IXE1,Q8IXE1,Class_II
9606.Q8N0Y3,Q8N0Y3,Class_II
9606.Q8N0Y5,Q8N0Y5,Class_II
9606.Q8N127,Q8N127,Class_II
9606.Q8N146,Q8N146,Class_II
9606.Q8N148,Q8N148,Class_II
9606.Q8N162,Q8N162,Class_II
9606.Q8N349,Q8N349,Class_II
9606.Q8N628,Q8N628,Class_II
9606.Q8NG75,Q8NG75,Class_II
9606.Q8NG76,Q8NG76,Class_II
9606.Q8NG77,Q8NG77,Class_II
9606.Q8NG78,Q8NG78,Class_II
9606.Q8NG80,Q8NG80,Class_II
9606.Q8NG81,Q8NG81,Class_II
9606.Q8NG83,Q8NG83,Class_II
9606.Q8NG84,Q8NG84,Class_II
9606.Q8NG85,Q8NG85,Class_II
9606.Q8NG92,Q8NG92,Class_II
9606.Q8NG94,Q8NG94,Class_II
9606.Q8NG95,Q8NG95,Class_II
9606.Q8NG97,Q8NG97,Class_II
9606.Q8NG98,Q8NG98,Class_II
9606.Q8NG99,Q8NG99,Class_II
9606.Q8NGA0,Q8NGA0,Class_II
9606.Q8NGA1,Q8NGA1,Class_II
9606.Q8NGA2,Q8NGA2,Class_II
9606.Q8NGA5,Q8NGA5,Class_II
9606.Q8NGA6,Q8NGA6,Class_II
9606.Q8NGA8,Q8NGA8,Class_II
9606.Q8NGB2,Q8NGB2,Class_II
9606.Q8NGB4,Q8NGB4,Class_II
9606.Q8NGB6,Q8NGB6,Class_II
9606.Q8NGB8,Q8NGB8,Class_II
9606.Q8NGB9,Q8NGB9,Class_II
9606.Q8NGC0,Q8NGC0,Class_II
9606.Q8NGC1,Q8NGC1,Class_II
9606.Q8NGC2,Q8NGC2,Class_II
9606.Q8NGC3,Q8NGC3,Class_II
9606.Q8NGC4,Q8NGC4,Class_II
9606.Q8NGC5,Q8NGC5,Class_II
9606.Q8NGC6,Q8NGC6,Class_II
9606.Q8NGC7,Q8NGC7,Class_II
9606.Q8NGC8,Q8NGC8,Class_II
9606.Q8NGC9,Q8NGC9,Class_II
9606.Q8NGD0,Q8NGD0,Class_II
9606.Q8NGD1,Q8NGD1,Class_II
9606.Q8NGD2,Q8NGD2,Class_II
9606.Q8NGD3,Q8NGD3,Class_II
9606.Q8NGD4,Q8NGD4,Class_II
9606.Q8NGD5,Q8NGD5,Class_II
9606.Q8NGE0,Q8NGE0,Class_II
9606.Q8NGE1,Q8NGE1,Class_II
9606.Q8NGE2,Q8NGE2,Class_II
9606.Q8NGE3,Q8NGE3,Class_II
9606.Q8NGE5,Q8NGE5,Class_II
9606.Q8NGE7,Q8NGE7,Class_II
9606.Q8NGE8,Q8NGE8,Class_II
9606.Q8NGE9,Q8NGE9,Class_II
9606.Q8NGF4,Q8NGF4,Class_II
9606.Q8NGF6,Q8NGF6,Class_II
9606.Q8NGF7,Q8NGF7,Class_II
9606.Q8NGF8,Q8NGF8,Class_II
9606.Q8NGF9,Q8NGF9,Class_II
9606.Q8NGG0,Q8NGG0,Class_II
9606.Q8NGG1,Q8NGG1,Class_II
9606.Q8NGG2,Q8NGG2,Class_II
9606.Q8NGG3,Q8NGG3,Class_II
9606.Q8NGG4,Q8NGG4,Class_II
9606.Q8NGG5,Q8NGG5,Class_II
9606.Q8NGG6,Q8NGG6,Class_II
9606.Q8NGG7,Q8NGG7,Class_II
9606.Q8NGG8,Q8NGG8,Class_II
9606.Q8NGH3,Q8NGH3,Class_II
9606.Q8NGI4,Q8NGI4,Class_II
9606.Q8NGI6,Q8NGI6,Class_II
9606.Q8NGI7,Q8NGI7,Class_II
9606.Q8NGI8,Q8NGI8,Class_II
9606.Q8NGI9,Q8NGI9,Class_II
9606.Q8NGJ0,Q8NGJ0,Class_II
9606.Q8NGJ1,Q8NGJ1,Class_II
9606.Q8NGK9,Q8NGK9,Class_II
9606.Q8NGL0,Q8NGL0,Class_II
9606.Q8NGL1,Q8NGL1,Class_II
9606.Q8NGL2,Q8NGL2,Class_II
9606.Q8NGL3,Q8NGL3,Class_II
9606.Q8NGL4,Q8NGL4,Class_II
9606.Q8NGL6,Q8NGL6,Class_II
9606.Q8NGL7,Q8NGL7,Class_II
9606.Q8NGL9,Q8NGL9,Class_II
9606.Q8NGM1,Q8NGM1,Class_II
9606.Q8NGM9,Q8NGM9,Class_II
9606.Q8NGN0,Q8NGN0,Class_II
9606.Q8NGN1,Q8NGN1,Class_II
9606.Q8NGN2,Q8NGN2,Class_II
9606.Q8NGN3,Q8NGN3,Class_II
9606.Q8NGN4,Q8NGN4,Class_II
9606.Q8NGN5,Q8NGN5,Class_II
9606.Q8NGN6,Q8NGN6,Class_II
9606.Q8NGN7,Q8NGN7,Class_II
9606.Q8NGN8,Q8NGN8,Class_II
9606.Q8NGP0,Q8NGP0,Class_II
9606.Q8NGP2,Q8NGP2,Class_II
9606.Q8NGP3,Q8NGP3,Class_II
9606.Q8NGP4,Q8NGP4,Class_II
9606.Q8NGP6,Q8NGP6,Class_II
9606.Q8NGP8,Q8NGP8,Class_II
9606.Q8NGP9,Q8NGP9,Class_II
9606.Q8NGQ1,Q8NGQ1,Class_II
9606.Q8NGQ2,Q8NGQ2,Class_II
9606.Q8NGQ3,Q8NGQ3,Class_II
9606.Q8NGQ4,Q8NGQ4,Class_II
9606.Q8NGQ5,Q8NGQ5,Class_II
9606.Q8NGQ6,Q8NGQ6,Class_II
9606.Q8NGR1,Q8NGR1,Class_II
9606.Q8NGR2,Q8NGR2,Class_II
9606.Q8NGR3,Q8NGR3,Class_II
9606.Q8NGR4,Q8NGR4,Class_II
9606.Q8NGR5,Q8NGR5,Class_II
9606.Q8NGR6,Q8NGR6,Class_II
9606.Q8NGR8,Q8NGR8,Class_II
9606.Q8NGR9,Q8NGR9,Class_II
9606.Q8NGS0,Q8NGS0,Class_II
9606.Q8NGS1,Q8NGS1,Class_II
9606.Q8NGS2,Q8NGS2,Class_II
9606.Q8NGS3,Q8NGS3,Class_II
9606.Q8NGS4,Q8NGS4,Class_II
9606.Q8NGS5,Q8NGS5,Class_II
9606.Q8NGS6,Q8NGS6,Class_II
9606.Q8NGS7,Q8NGS7,Class_II
9606.Q8NGS8,Q8NGS8,Class_II
9606.Q8NGS9,Q8NGS9,Class_II
9606.Q8NGT0,Q8NGT0,Class_II
9606.Q8NGT1,Q8NGT1,Class_II
9606.Q8NGT2,Q8NGT2,Class_II
9606.Q8NGT5,Q8NGT5,Class_II
9606.Q8NGT7,Q8NGT7,Class_II
9606.Q8NGT9,Q8NGT9,Class_II
9606.Q8NGU1,Q8NGU1,Class_II
9606.Q8NGU2,Q8NGU2,Class_II
9606.Q8NGU4,Q8NGU4,Class_II
9606.Q8NGV0,Q8NGV0,Class_II
9606.Q8NGV5,Q8NGV5,Class_II
9606.Q8NGV6,Q8NGV6,Class_II
9606.Q8NGV7,Q8NGV7,Class_II
9606.Q8NGW1,Q8NGW1,Class_II
9606.Q8NGW6,Q8NGW6,Class_II
9606.Q8NGX0,Q8NGX0,Class_II
9606.Q8NGX1,Q8NGX1,Class_II
9606.Q8NGX2,Q8NGX2,Class_II
9606.Q8NGX3,Q8NGX3,Class_II
9606.Q8NGX5,Q8NGX5,Class_II
9606.Q8NGX6,Q8NGX6,Class_II
9606.Q8NGX8,Q8NGX8,Class_II
9606.Q8NGX9,Q8NGX9,Class_II
9606.Q8NGY0,Q8NGY0,Class_II
9606.Q8NGY1,Q8NGY1,Class_II
9606.Q8NGY2,Q8NGY2,Class_II
9606.Q8NGY3,Q8NGY3,Class_II
9606.Q8NGY5,Q8NGY5,Class_II
9606.Q8NGY6,Q8NGY6,Class_II
9606.Q8NGY7,Q8NGY7,Class_II
9606.Q8NGY9,Q8NGY9,Class_II
9606.Q8NGZ0,Q8NGZ0,Class_II
9606.Q8NGZ2,Q8NGZ2,Class_II
9606.Q8NGZ3,Q8NGZ3,Class_II
9606.Q8NGZ4,Q8NGZ4,Class_II
9606.Q8NGZ5,Q8NGZ5,Class_II
9606.Q8NGZ6,Q8NGZ6,Class_II
9606.Q8NGZ9,Q8NGZ9,Class_II
9606.Q8NH00,Q8NH00,Class_II
9606.Q8NH01,Q8NH01,Class_II
9606.Q8NH02,Q8NH02,Class_II
9606.Q8NH03,Q8NH03,Class_II
9606.Q8NH04,Q8NH04,Class_II
9606.Q8NH05,Q8NH05,Class_II
9606.Q8NH06,Q8NH06,Class_II
9606.Q8NH07,Q8NH07,Class_II
9606.Q8NH08,Q8NH08,Class_II
9606.Q8NH09,Q8NH09,Class_II
9606.Q8NH10,Q8NH10,Class_II
9606.Q8NH16,Q8NH16,Class_II
9606.Q8NH18,Q8NH18,Class_II
9606.Q8NH19,Q8NH19,Class_II
9606.Q8NH21,Q8NH21,Class_II
9606.Q8NH37,Q8NH37,Class_II
9606.Q8NH40,Q8NH40,Class_II
9606.Q8NH41,Q8NH41,Class_II
9606.Q8NH42,Q8NH42,Class_II
9606.Q8NH43,Q8NH43,Class_II
9606.Q8NH48,Q8NH48,Class_II
9606.Q8NH49,Q8NH49,Class_II
9606.Q8NH50,Q8NH50,Class_II
9606.Q8NH51,Q8NH51,Class_II
9606.Q8NH69,Q8NH69,Class_II
9606.Q8NH70,Q8NH70,Class_II
9606.Q8NH72,Q8NH72,Class_II
9606.Q8NH73,Q8NH73,Class_II
9606.Q8NH74,Q8NH74,Class_II
9606.Q8NH79,Q8NH79,Class_II
9606.Q8NH80,Q8NH80,Class_II
9606.Q8NH81,Q8NH81,Class_II
9606.Q8NH83,Q8NH83,Class_II
9606.Q8NH85,Q8NH85,Class_II
9606.Q8NH87,Q8NH87,Class_II
9606.Q8NH89,Q8NH89,Class_II
9606.Q8NH90,Q8NH90,Class_II
9606.Q8NH92,Q8NH92,Class_II
9606.Q8NH93,Q8NH93,Class_II
9606.Q8NH94,Q8NH94,Class_II
9606.Q8NH95,Q8NH95,Class_II
9606.Q8NHA4,Q8NHA4,Class_II
9606.Q8NHA6,Q8NHA6,Class_II
9606.Q8NHA8,Q8NHA8,Class_II
9606.Q8NHB1,Q8NHB1,Class_II
9606.Q8NHB7,Q8NHB7,Class_II
9606.Q8NHB8,Q8NHB8,Class_II
9606.Q8NHC4,Q8NHC4,Class_II
9606.Q8NHC5,Q8NHC5,Class_II
9606.Q8NHC6,Q8NHC6,Class_II
9606.Q8NHC7,Q8NHC7,Class_II
9606.Q8NHC8,Q8NHC8,Class_II
9606.Q8WZ84,Q8WZ84,Class_II
9606.Q8WZ92,Q8WZ92,Class_II
9606.Q8WZ94,Q8WZ94,Class_II
9606.Q8WZA6,Q8WZA6,Class_II
9606.Q96KK4,Q96KK4,Class_II
9606.Q96R08,Q96R08,Class_II
9606.Q96R09,Q96R09,Class_II
9606.Q96R27,Q96R27,Class_II
9606.Q96R28,Q96R28,Class_II
9606.Q96R30,Q96R30,Class_II
9606.Q96R45,Q96R45,Class_II
9606.Q96R47,Q96R47,Class_II
9606.Q96R48,Q96R48,Class_II
9606.Q96R54,Q96R54,Class_II
9606.Q96R67,Q96R67,Class_II
9606.Q96R69,Q96R69,Class_II
9606.Q96R72,Q96R72,Class_II
9606.Q96R84,Q96R84,Class_II
9606.Q96RA2,Q96RA2,Class_II
9606.Q96RB7,Q96RB7,Class_II
9606.Q96RC9,Q96RC9,Class_II
9606.Q96RD0,Q96RD0,Class_II
9606.Q96RD1,Q96RD1,Class_II
9606.Q9BZC5,Q9BZC5,Class_II
9606.Q9GZK3,Q9GZK3,Class_II
9606.Q9GZK4,Q9GZK4,Class_II
9606.Q9GZK6,Q9GZK6,Class_II
9606.Q9GZK7,Q9GZK7,Class_II
9606.Q9GZM6,Q9GZM6,Class_II
9606.Q9H205,Q9H205,Class_II
9606.Q9H207,Q9H207,Class_II
9606.Q9H208,Q9H208,Class_II
9606.Q9H209,Q9H209,Class_II
9606.Q9H210,Q9H210,Class_II
9606.Q9NQN1,Q9NQN1,Class_II
9606.Q9NZP0,Q9NZP0,Class_II
9606.Q9NZP2,Q9NZP2,Class_II
9606.Q9NZP5,Q9NZP5,Class_II
9606.Q9P1Q5,Q9P1Q5,Class_II
9606.Q9UGF5,Q9UGF5,Class_II
9606.Q9UGF6,Q9UGF6,Class_II
9606.Q9UGF7,Q9UGF7,Class_II
9606.Q9Y3N9,Q9Y3N9,Class_II
9606.Q9Y4A9,Q9Y4A9,Class_II
9606.Q9Y585,Q9Y585,Class_II
