canonical_smiles,UMAP1,UMAP2
CCCC(=O)O,8.506266,5.5704956
C(=O)O,8.037231,4.5475526
C1=CC=C(C(=C1)O)O,11.065296,4.496747
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,7.8367367,4.5691204
CC(C)C1=CC=C(C=C1)CO,11.002896,4.775117
CC(C)C1=CC=C(C=C1)C=O,10.961013,4.6866374
COC1=C(C=CC(=C1)C=C)O,10.95815,4.617693
CC1=CC=CC=C1O,11.021605,4.6793485
CC1=CC(=CC=C1)O,11.095327,4.5469346
CCCCCCCC,8.567173,5.555553
CCCCCCCC(=O)O,8.587213,5.5851216
CC(CC(=O)O)O,8.010421,4.6730914
C(C(C(C(C(CO)O)O)O)O)O,8.241523,4.6444383
CCCCCCCC=O,8.615608,5.543576
COC1=CC=CC=C1O,10.932183,4.719457
CSCCC(=O)C(=O)O,8.75541,4.6040998
C(C(C(=O)O)O)C(=O)O,7.9573298,4.57118
CCC=O,8.644066,5.3779283
CSCCC(=O)O,8.627289,5.2083507
C(C(C(=O)O)N)S,8.320064,4.3168106
C(CC(=O)O)C(C(=O)O)N,7.617231,4.389106
CC(C(=O)O)O,8.004558,4.597302
CC(=O)C(=O)C,9.164535,5.4415846
C1CC(=O)OC2=CC=CC=C21,10.863728,4.7621827
C(C(=O)CO)O,8.843843,4.9462976
CNC,8.630138,5.319392
CCOC(=O)C(C)C(=O)C,10.237934,4.6091123
CCO,8.712955,5.1141276
C(C(=O)O)O,8.156592,4.71186
C1=CC=C2C(=C1)C=CN2,11.108593,4.6178007
CC(C)CC(C(=O)O)N,8.007828,4.219435
C(C(C(=O)O)O)(C(=O)O)O,8.0078945,4.629713
CSCCC(C(=O)O)N,7.969844,4.173441
CS,8.648219,5.2274957
CC(=O)C=O,8.994417,5.372778
C1=CC=C2C=CC=CC2=C1,10.989887,4.676085
CCCCCCCCO,8.551281,5.564407
C(C(=O)C(=O)O)O,8.046803,4.6430535
CCCCCCCCCCCCCCCC=O,8.564332,5.5180407
CCCCCCCCCCCCCCCC(=O)O,8.530046,5.5702333
CC1(COC(=O)C1O)C,9.264155,5.801658
C1=CC=C(C=C1)CC(C(=O)O)N,11.236474,4.428838
C1=CC=C(C=C1)O,11.002489,4.6424236
C1=CC=C(C=C1)CC(=O)C(=O)O,10.777405,4.6104684
C1=CC=C(C=C1)CC=O,10.910634,4.618008
C1=CC=C(C=C1)CC(=O)O,10.899489,4.5718193
C1=CC=C(C=C1)CCN,10.934706,4.4545283
C1=CC=C(C(=C1)C(=O)O)C(=O)O,11.027637,4.6622705
CC(CO)O,8.526604,4.8306394
CCCO,8.563473,5.346788
CCC(=O)O,8.656244,5.45789
C1=CC=NC=C1,11.049351,4.483321
CC(=O)C(=O)O,8.966637,5.2732844
CSC,8.665195,5.3874187
C(CC(=O)O)C(=O)O,7.435305,4.328639
C1CCSC1,9.23013,4.475027
C(C(=O)O)S,8.205378,4.451721
CC1=C(SC=N1)CCO,11.251259,4.5207787
C[N+](C)(C)[O-],9.929171,6.0835567
CN(C)C,9.46408,4.068943
CC(C)C(C(=O)O)N,8.078123,4.1014156
COC1=C(C=CC(=C1)C=O)O,10.92577,4.7002015
CC1CCC(C(C1)O)C(C)C,10.212864,4.0999603
C1=CC(=C(C=C1O)O)C(=O)O,10.926303,4.7290382
C(CS)O,8.531294,4.9389796
CC(=O)C1=CC(=C(C=C1)O)OC,10.749144,4.8280435
C(CCCC(=O)O)CCCC(=O)O,8.220193,5.2731714
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,10.919622,4.616578
C1=CC=C(C=C1)CN=C=S,11.072138,4.635352
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,11.376389,4.4838257
CC1(C2CCC1(C(=O)C2)C)C,10.3374405,4.6666718
CCCCCCCCCCCCCCCCO,8.554107,5.5476036
CC1(C2CCC(O1)(CC2)C)C,9.124434,5.6081877
CC1=CC=C(C=C1)O,11.068389,4.5165596
CCCCCCCCCC(=O)O,8.594363,5.623457
CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,8.975151,5.552851
C(C(CS)S)O,8.627903,4.4187655
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,10.937363,4.5685477
COC1=C(C=CC(=C1)CC=C)O,10.777691,4.659054
C(CC=O)CC=O,8.940879,5.235518
CC(C)C1=CC(=O)C(=CC=C1)O,10.935303,4.662295
CC(C)O,9.085757,6.4605274
CCCCCCCCCCCC(=O)O,8.553791,5.595774
CC(=C)C(=O)O,8.802822,5.096866
COC(=O)C1=CC=CC=C1O,11.122297,4.6592913
COC1=CC(=CC2=C1OCO2)CC=C,10.717817,4.8564415
C1=CC=C(C=C1)CCCC(=O)O,10.951376,4.639893
C1CNCCN1,8.868246,4.864521
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,10.76407,4.8220797
C1=CC(=CC(=C1)O)O,10.926964,4.5588436
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,11.545879,3.6200645
C=CCC1=CC2=C(C=C1)OCO2,10.535687,4.992196
CCCCCCCCCCCCCCCCCC(=O)O,8.545937,5.6482162
CN1C=NC2=C1C(=O)NC(=O)N2C,11.639358,4.4282947
CC(=O)OCC(COC(=O)C)OC(=O)C,8.854338,6.5133314
C1=CC(=CC=C1CCN)O,10.8661375,4.5922475
C=CCCCCCCCCC(=O)O,8.539415,5.615278
C1[C@H](CN[C@@H]1C(=O)O)O,7.6239576,4.6730514
C(CC(=O)N)[C@@H](C(=O)O)N,7.5402207,4.418004
C=CCN=C=S,8.715806,5.027961
C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,8.359119,4.863605
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,7.84813,5.803569
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,8.756216,5.3475094
C1=CC=C(C=C1)CCO,10.994961,4.6673775
CSCC[C@@H](C(=O)O)N,7.449836,4.3595705
C1=CC=C(C=C1)C[C@@H](C(=O)O)N,11.429205,4.339011
CCCCCC=O,8.609229,5.549002
C(C(C(=O)O)S)C(=O)O,7.8875723,4.524483
CCCCCO,8.523741,5.5967565
CC[C@H](C)[C@@H](C(=O)O)N,7.701468,4.400741
CN,8.663868,5.1918416
CCN,8.567964,5.163931
CCS,8.640572,5.2468796
CC(C)N,8.567799,4.716455
CC(C)S,8.732968,5.0334573
CC(C)(C)O,9.204715,5.2308354
CC(C)(C)S,9.171059,5.1176944
CCC(C)(C)O,9.354972,5.9503636
CC(C)(C)C(=O)O,9.008778,4.8009353
CC(C)(C(C)(C)O)O,8.861437,4.8304396
CC(=O)OC1CC2CCC1(C2(C)C)C,10.200412,4.976302
C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,9.532301,7.676282
CCC(C)(CC)O,9.308689,5.309657
CC(C)(OC)OC,8.907902,4.6376696
CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,10.323462,4.8539658
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,8.879786,5.0719495
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,8.903504,4.5857215
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,8.7646675,5.314889
C(CS)C(=O)O,7.8797197,4.5273256
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,9.257633,6.989311
CC1=CC(=O)CC(C1)(C)C,10.733238,4.665744
CCC(C)(CCCC(C)C)O,9.321636,6.0961227
CC(=CCCC(C)(C=C)O)C,9.28696,7.075492
CC(=C)C=C,9.017048,5.493729
CC(C)CN,8.534732,4.926841
CC(C)CO,9.108327,6.0855694
CC(C)C=O,9.033188,5.8545403
CCC(C)O,8.9092865,5.644537
CCC(=O)C,8.79173,5.477751
CC(=O)C=C,9.005739,5.660713
CC(=O)OC,8.697896,5.396498
CC(C)C(=O)O,8.247512,4.892525
CC1(C2CCC(C2)C1=C)C,10.670581,4.8749332
CC1CCC(CC1)C(C)(C)OC(=O)C,9.763255,4.982126
CC1(CCC(CC1)C(C)(C)O)O,9.235312,5.743443
CC1=CCC2CC1C2(C)C,9.632244,7.9145117
CC(=C)C(=O)OC,8.940018,5.236623
CC1=CNC2=CC=CC=C12,11.160422,4.546361
CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],11.488646,4.927296
CNC1=CC=CC=C1C(=O)OC,11.200406,4.561377
CC(C)COC(=O)C1=CC=CC=C1O,10.897115,4.791365
CC(C)CCOC(=O)C1=CC=CC=C1O,10.816154,4.8590736
CCOC(=O)C1=CC=CC=C1N,11.314874,4.6324453
C1C2=CC=CC=C2C(=O)O1,10.974677,4.658223
CCC(CC)C(=O)O,8.355871,5.3454523
C1=COC(=C1)C(=O)O,10.957534,4.762643
CC1=CC(=C(C=C1)C(C)(C)C)O,10.743374,4.7343235
CC(C)C1=CC=CC=C1O,10.936796,4.895498
CC1CCC(=C(C)C)CC2=C1CCC2C,9.50198,8.185934
CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C,10.58224,4.9490657
CC1=CC(=C(C=C1)C(=O)C)C,10.79451,4.7257113
CC1=CC(=O)C(CC1)C(C)C,10.777766,4.8361764
CC1=CC(=C(C=C1)C(C)C)O,10.835771,4.6407304
CCC1=CC=CC=C1O,10.854334,4.8625226
C1=CC=C(C(=C1)C=O)O,10.950066,4.560918
CC1=CC=CC2=CC=CC=C12,11.041771,4.625451
C1=CC=C(C=C1)C2=CC=CC=C2O,10.977332,4.578531
COC1=C(C(=CC=C1)OC)O,10.905823,4.7919884
COC1=CC=CC=C1OC,10.777587,4.8785715
C1=CC=C2C(=C1)N=CC=N2,11.268104,4.4522223
C1=CC=C2C(=C1)C=CC=N2,11.108602,4.589665
CC1=CC2=CC=CC=C2C=C1,11.060906,4.6982603
C1=CC=C2C=C(C=CC2=C1)S,11.053772,4.7031403
CC1=CC2=C(C=C1)N=CC=C2,11.125081,4.654278
CC1=NC2=CC=CC=C2C=C1,11.21771,4.5331874
CC1=CC2=C(C=C1)OC(=O)C=C2,10.741974,4.9685283
C1=CC=C(C=C1)C2=CC=CC=C2,10.995017,4.695468
COC1=C(C=C(C=C1)CO)OC,11.012442,4.793486
COC1=CC2=CC=CC=C2C=C1,11.040822,4.71033
CC(=O)C1=CC2=CC=CC=C2C=C1,11.02396,4.6011133
COC1=C(C=C(C=C1)CC=C)OC,10.798332,4.7913084
CCOC1=CC2=CC=CC=C2C=C1,11.025036,4.6831994
CC(C)CC1=NC2=CC=CC=C2C=C1,11.154317,4.5356975
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,10.781268,4.948926
CC1=CC(=C(C=C1)O)OC,10.903275,4.618201
CC(C=O)C1=CC=CC=C1,10.914566,4.6222544
CCC(C1=CC=CC=C1)O,10.877119,4.8288627
CCC(=O)C1=CC=CC=C1,10.866679,4.6612077
COC(=O)C1=CC=CC=C1,11.090178,4.6750455
COC(=O)C1=CN=CC=C1,11.198018,4.6190166
CCOC(=O)C1=CC=CC=C1,10.966771,4.7191277
CC(=O)CC(=O)C1=CC=CC=C1,10.850524,4.696788
C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,10.9802,4.644687
CCOC(=O)CC(=O)C1=CC=CC=C1,10.915536,4.6244216
CCCOC(=O)C1=CC=C(C=C1)O,10.90734,4.6299005
CCCCOC(=O)C1=CC=C(C=C1)O,10.608233,4.8960047
CC(C)CCOC(=O)C1=CC=CC=C1,11.002947,4.738854
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,11.002741,4.6042614
C1=CC=C2C(=C1)C=CS2,11.090609,4.7657967
C1=CC=C2C(=C1)N=CS2,11.315697,4.6324267
CC1=CC2=CC=CC=C2N1,11.076352,4.6646843
CC1=NC2=CC=CC=C2O1,11.13166,4.547669
CC1=C(C=C(C=C1)O)C,10.78657,4.667065
CC1=CC(=C(C=C1)C)O,10.75709,4.8115225
CCOC(=O)C(=O)OCC,8.937475,4.963578
CCC(C)C=O,8.895498,5.7348456
CCC(=O)CC,8.787786,5.501077
COC(=O)C=C,9.031254,5.2962375
C1CCC(C1)O,6.244571,8.153843
CC1CCCO1,10.979234,2.8974671
C1CC(=O)OC1,9.920602,4.848333
CN1C=CC=C1,10.803727,4.8373675
CC1=CCC(CC1OC(=O)C)C(=C)C,9.433689,7.0310974
CCC(=O)OC1CC(CC=C1C)C(=C)C,9.227009,7.5198684
CCCC(C)C(=O)O,8.484032,5.391766
CCOC(=O)C(C)C,8.723078,5.2095866
CCOC(=O)C(=C)C,8.970821,4.9818206
CCOC(=O)C(C)O,8.83566,5.29917
CC(C)COC(=O)C(C)C,8.866059,5.318157
CC(C)COC(=O)C(=C)C,8.982971,5.5388103
CCCCOC(=O)C(C)C,8.856319,5.311354
CCCCOC(=O)C(=C)C,8.91746,5.322704
CCC(CC)CO,8.783051,5.5090456
CCC(CC)C=O,8.721927,5.3420916
C1CC(OC1)CO,8.986483,4.450955
C1=COC(=C1)C=O,10.899949,4.6749663
C1=COC(=C1)CS,11.133506,4.741498
C1=CSC(=C1)C=O,10.997311,4.6050625
CC(C)(C)C1CCC(CC1)O,9.7791815,4.855226
CC(C)(C)C1CCC(=O)CC1,9.597222,6.4334197
CC(C)(C)C1=CC=C(C=C1)O,10.652854,4.7021966
CC(=C)C1=CC=CC=C1,10.851022,4.778503
CC(C1=CC=CC=C1)O,10.883118,4.8073187
CC(=O)C1=CC=CC=C1,10.959777,4.678209
C1CCC(CC1)C(=O)O,8.519047,4.2316146
CC1=CCC(CC1O)C(=C)C,9.638889,6.3362045
CC1=CC=C(C=C1)C(=O)OC,11.041714,4.583635
CC1=CCC(C=C1)C(C)C,10.783524,4.7420707
CC1=CCC(=CC1)C(C)C,10.721199,4.806858
CC1=CC=C(CC1)C(C)C,10.773165,4.912171
CC1=CC=C(C=C1)C(C)C,10.917692,4.774615
CC(C)C1=CC=C(C=C1)O,10.950224,4.742533
CC(=O)C1=CC=C(C=C1)O,10.913227,4.7316136
CC(=O)C1=CC=C(C=C1)OC,10.826304,4.8272443
COC1=CC=C(C=C1)C(=O)O,11.005682,4.7299614
C=CC1=CC=CC=C1,11.083848,4.849214
C1=CC=C(C=C1)C#N,11.121869,4.6328273
C1=CC=C(C=C1)CS,10.994766,4.680097
COC1=CC=CC=C1,11.052836,4.702099
CSC1=CC=CC=C1,10.991804,4.8780937
CCC1=CC=CC=N1,10.971488,4.7888994
CC1(OCC(O1)CO)C,9.025353,5.675058
CC1=CC(=CC=C1)OC,10.93324,4.723721
CC(C)(CC1=CC=CC=C1)O,10.725336,4.634315
COC(=O)CC1=CC=CC=C1,10.912253,4.8591876
C1COC(O1)CC2=CC=CC=C2,10.6799135,4.777046
C1=CC=C(C=C1)CC2=CC=CC=C2,10.948077,4.682521
C1=CC=C(C=C1)OC2=CC=CC=C2,10.984681,4.6326175
CCOC(=O)CC1=CC=CC=C1,10.965763,4.7117724
C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,10.924742,4.6275454
COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,10.713766,4.8739166
CC(C)CCOC(=O)CC1=CC=CC=C1,10.061236,5.156014
C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,10.988722,4.6016116
CCCN(CCC)CCC,8.77833,5.214298
CCCCN(CCCC)CCCC,9.713874,6.0587716
CC(C)(CCC1=CC=CC=C1)O,10.742496,4.6572704
CC(=O)OC(C)(C)CCC1=CC=CC=C1,10.512592,4.9448185
CCCCC(CC)COC(=O)C,8.716057,5.4194984
COC(=O)CCC1=CC=CC=C1,10.785695,4.7565656
CC(C)C(=O)OCC1=CC=CC=C1,10.8295,4.6967907
CCCC(=O)OCC1=CC=CC=C1,10.571007,4.8364525
CC(C)CC(=O)OCC1=CC=CC=C1,10.665338,4.821153
CC(=O)OCCC1=CC=CC=C1,10.819922,4.808387
CC(C)C(=O)OCCC1=CC=CC=C1,10.881714,4.758059
C1=CC=C(C=C1)COCC2=CC=CC=C2,10.88224,4.696126
CCCC(=O)OCCC1=CC=CC=C1,10.473726,4.9956317
CC(C)C(=O)OCCCC1=CC=CC=C1,10.588397,4.8732367
CCOC1=CC=CC=C1,10.9623375,4.802577
CC(=O)CC1=CC=CC=C1,10.90341,4.676962
CC1=CC=C(C=C1)OC(=O)C(C)C,10.906001,4.6581855
CC(C)C1=CC=C(C=C1)C(C)CC=O,10.655183,4.985821
CC(=O)OCC1=CC=C(C=C1)OC,10.784095,4.8470454
CCCC1=CC=C(C=C1)OC,10.866569,4.7222695
CCCCC1CCC(=O)O1,8.8621235,5.595293
C1=CC=C(C=C1)CCC=O,10.917092,4.715858
C1=CC=C(C=C1)COC=O,10.969159,4.611956
C1=CC=C(C=C1)CCOC=O,10.826654,4.669516
CCCCC(CC)CO,8.595549,5.5202665
CC1=CC=C(C=C1)C=O,10.96743,4.628365
CCC1=CN=C(C=C1)C,11.129252,4.6165357
CC1=CC=C(C=C1)OC,10.8299465,4.8740015
CC(C)COC(=O)CCC1=CC=CO1,8.972074,5.651016
COC1=CC=C(C=C1)CO,11.029923,4.7522473
CCCC1CCC(=O)O1,8.847834,5.6090293
CCCC(C)CO,8.754264,5.726419
CCC(=O)OCC,8.646179,5.442594
CCC(C)CC(=O)O,8.491573,5.5578203
CC(=O)CC(=O)OC,9.057238,5.276804
CCC(C)OC(=O)C,8.751426,5.474468
CCOC(=O)CC(=O)OCC,8.817503,5.1409626
CCCC(=O)OCC,8.573492,5.4564924
CCOC(C)OCC,8.837802,5.4733124
CCOC(=O)OCC,8.692603,5.2300954
C1CCC(=O)NCC1,9.35409,3.9900455
CCCC(=O)OCCC,8.64193,5.5009317
CC1=CC(=C(C=C1)O)C,10.532011,4.7326207
CCC(=O)OCCC(C)C,8.879648,5.407848
CCCCCC(=O)OCC(C)C,8.713499,5.4771852
CC(CCC=C(C)C)CCOC=O,9.206167,7.110283
CCC(=O)OCCC(C)CCCC(=C)C,9.197949,7.084253
CCCOC(=O)CCCCC(=O)OCCC,8.725554,5.3709307
CC(C)CCCC(C)CCO,9.337754,7.329013
C[C@@H](CCC=C(C)C)CCO,9.259318,7.3552656
CCCC(=O)OCCC(C)C,8.8119135,5.491507
CCCCCCC(=O)OCC,8.566604,5.545231
CCCCCCCC(=O)OCC,8.579633,5.569141
CCCCCCCCCCCC(=O)OCC,8.579016,5.607991
CCCCC(=O)CC,8.752827,5.5393243
CCCOC(=O)CC,8.786167,5.2968597
COC(=O)CCC(=O)OC,8.780601,5.0571194
CCC(C)CC(=O)CC,8.90282,5.636005
CCCCCC(=O)OC,8.574394,5.584955
CCCCCCC(=O)OC,8.576275,5.570478
COC(=O)CCCCCCCCC(=O)OC,8.579378,5.5853853
C=CC=O,8.688246,5.518193
CCCS,8.580632,5.3568115
CCCN,8.506514,5.2577558
C=CCO,8.724031,5.681493
C(=O)C=O,8.953144,5.1737366
COC=O,8.584736,5.3536277
CC(CCCC(C)(C)O)CC=O,9.214631,6.884923
CC(C)CCN,8.560857,5.032302
CCCC(=O)C,8.712287,5.4024544
CC(COC)O,8.668995,4.9702945
CC(C)CC(=O)C,9.091719,6.4544935
CC(C)CC(C)O,9.28658,6.927553
CC(C)OC(=O)C,8.823638,5.4907
CC(=C)OC(=O)C,8.895516,5.1539145
CC1CCC(=O)O1,10.312972,5.0627084
CC1=CC(=NC=C1)C,11.146746,4.6525693
CC1=NC(=CC=C1)C,11.03445,4.499082
CC1=CN=CC(=N1)C,11.092284,4.3548913
COC(=O)CC(=O)OC,9.099446,4.9084496
CCOC(=O)CC(C)C,8.820147,5.295888
CC1=CC(=CC(=C1)O)C,11.072811,4.6749997
CC1=CC(=NC(=C1)C)C,10.895787,4.5755005
CC(C)CC(CC(C)C)O,8.9433775,4.80243
CC(C)CC(=O)CC(C)C,9.3558855,5.590694
CC(C)CC(C)OC(=O)C,9.177294,6.036307
CC1=CC=NC=C1,10.950986,4.6877527
C1CCC(CC1)O,6.2958035,8.122841
C1CCC(=O)CC1,10.535132,4.700902
C1=CC=C(C=C1)S,11.099991,4.7160354
CC1=CN=CC=C1,10.945437,4.532869
CC1CCCCN1,9.390484,4.424697
CC1=CC=CC=N1,10.980169,4.71466
CC1=NC=CN=C1,11.222541,4.275178
CCCCOC(=O)CC(C)C,8.858196,5.414868
CCCCOC(=O)CCC,8.730712,5.3625574
C1CCCCCCCC(=O)OCCCCCCC1,8.5925665,5.491859
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,8.634978,5.5615745
CC(=O)CCC=C,8.809981,5.474978
CCCCC(=O)O,8.549374,5.561577
CCCOC(=O)C,8.860953,5.3135796
CCCCN,8.5676985,5.255035
CCCCS,8.633354,5.329432
C(CS)CS,8.517986,4.745691
COCOC,8.680001,5.214593
CCNCC,8.590182,5.19635
CCOC=O,8.67422,5.28243
CCON=O,8.745032,4.9551396
C1=CNC=C1,10.874443,4.3991833
C1=COC=C1,10.951758,4.7704854
C1=CSC=C1,11.0897875,4.762421
CC(C)CCC(=O)C,9.195213,6.919363
CC(=O)CCC(=O)C,9.048957,5.506665
CC(C)COC(=O)C,9.121674,6.38161
CCCCCCCCCCCCCC(=O)OC(C)C,8.585025,5.56403
CCCCCCCCCCCCCC(=O)OCCCC,8.588519,5.5635624
CCCCCCCCCC(=O)OCC,8.595489,5.6010733
CCOC(=O)CCCCCCCCC(=O)OCC,8.608763,5.5213137
CCCCCCCCCC(=O)OC,8.561313,5.571729
CCCCCC(=O)C,8.66711,5.4519916
CC(C)CCOC=O,8.730037,5.5736933
CCCCCN,8.517022,5.343902
CCCCC=O,8.6215,5.4865227
CCCCCS,8.574293,5.4382496
COCCOC,8.832221,5.1925592
CCCOC=O,8.636146,5.3882217
CCSCCO,8.540316,5.3984833
CCSSCC,8.616036,5.2848024
C1CCCCC1,8.6684265,5.272393
C1CCNCC1,9.072127,3.2655234
CCCCCCCCCCCCCCCC(=O)OCCCC,8.580817,5.569214
CCCCCCCC(=O)OC,8.549147,5.585447
CCCCCC#CC(=O)OC,8.636228,5.6683297
CCCCCCC(=O)C,8.689197,5.628499
CCCCCCC(=O)O,8.587193,5.5870266
CCOCCOC(=O)C,8.750059,5.265939
CCCCCCN,8.473628,5.3721747
CCCCCCO,8.5688,5.6243715
CCCCCCS,8.62501,5.482257
C=CCOCCO,8.648672,5.60373
CCCSCCC,8.636883,5.4563384
CC(=O)OCCOC(=O)C,8.880379,5.3277698
CCCCCCCCCCCCCCCCCC(=O)OCC,8.56518,5.61059
CCCCCCC=C,8.618447,5.592785
CCCCCCCO,8.550305,5.583565
CCCCCCC=O,8.633064,5.5393243
CCCCOCCO,8.644837,5.487773
CCCCCCC#CC(=O)OC,8.588137,5.655625
COC(=O)CCCCCCCCC=C,8.578967,5.6121435
CCCCCCCCC,8.55662,5.540061
CCCCCCCCS,8.561904,5.4501557
CCCCCCCCC(=O)O,8.571231,5.6388702
CCCCCCCOC(=O)C,8.6574955,5.5356274
CCCCOCCOC(=O)C,8.702619,5.5405817
CCCCCCCCCC(=O)C,8.626972,5.576969
CCCCCCCCOC(=O)C,8.656823,5.5361414
CCCCCCCCCCOC(=O)C,8.597917,5.513606
CCCCCCCOC=O,8.582727,5.6158466
CCCCCCCCCCO,8.532502,5.5820866
CCCCCCCCCC=O,8.568344,5.589303
CCCCCCCCOC=O,8.562638,5.620591
CCCCCCCCCCC(=O)O,8.527629,5.5860763
CCCCCCCCCCCCCCCC(=O)OC,8.494882,5.687333
CCCCCCCCCCCC,8.553081,5.60728
CCCCCCCCCCC=C,8.582754,5.5586247
CCCCCCCCCCCO,8.545411,5.5809827
C=CCCCCCCCCCO,8.551891,5.579794
CCCCCCCCCCC=O,8.5630865,5.5701637
C=CCCCCCCCCC=O,8.63113,5.775028
CCCCCSSCCCCC,8.556141,5.4798536
CCCCCCCCCCCCO,8.533819,5.6140866
CCCCCCCCCCCC=O,8.5701,5.594725
CCCCCCCCCCCCS,8.562916,5.4568195
CCCCCCCCCCCCCCCCCC(=O)OC,8.507478,5.620069
CCCCCCCCCCCCOC(=O)C,8.595502,5.4968843
CCCCCCCCCCCCCO,8.590778,5.592601
CCCCCCCCCCCCCCO,8.532641,5.5818276
CCCCCCCCCCCCCCCCCCO,8.519157,5.6109424
CCCCCCCCCCCCCCCCCCCC,8.596925,5.554085
CC(C)(C=C)O,9.445882,5.338093
