9606.A0A096LPK9	ORN4C_HUMAN
9606.P0C7T2	OR2T7_HUMAN
9606.O95222	OR6A2_HUMAN
9606.O75388	GPR32_HUMAN
9606.P0C7N5	OR8U9_HUMAN
9606.O95007	OR6B1_HUMAN
9606.P0C7N1	OR8U8_HUMAN
9606.P0DN82	O12D1_HUMAN
9606.P0C623	OR4Q2_HUMAN
9606.P0C629	O10J4_HUMAN
9606.O95136	S1PR2_HUMAN
9606.P0C645	OR4E1_HUMAN
9606.P0C626	OR5G3_HUMAN
9606.O95006	OR2F2_HUMAN
9606.O95977	S1PR4_HUMAN
9606.P0DMU2	OR8G3_HUMAN
9606.P0C628	O5AC1_HUMAN
9606.O95013	O4F21_HUMAN
9606.O95047	OR2A4_HUMAN
9606.O95221	OR5F1_HUMAN
9606.P0DN80	OR5H8_HUMAN
9606.P0C646	O52Z1_HUMAN
9606.P0C7N8	OR9G9_HUMAN
9606.P0C617	O5AL1_HUMAN
9606.P0C604	OR4A8_HUMAN
9606.P0C7T3	O56A5_HUMAN
9606.P04201	MAS_HUMAN
9606.O95800	GPR75_HUMAN
9606.O75473	LGR5_HUMAN
9606.P28222	5HT1B_HUMAN
9606.P25100	ADA1D_HUMAN
9606.P28221	5HT1D_HUMAN
9606.P35368	ADA1B_HUMAN
9606.P35348	ADA1A_HUMAN
9606.P34969	5HT7R_HUMAN
9606.P14416	DRD2_HUMAN
9606.P30872	SSR1_HUMAN
9606.P32246	CCR1_HUMAN
9606.P41143	OPRD_HUMAN
9606.P35372	OPRM_HUMAN
9606.P41146	OPRX_HUMAN
9606.P41145	OPRK_HUMAN
9606.P21728	DRD1_HUMAN
9606.P30556	AGTR1_HUMAN
9606.P30874	SSR2_HUMAN
9606.P28566	5HT1E_HUMAN
9606.P35414	APJ_HUMAN
9606.P18089	ADA2B_HUMAN
9606.P31391	SSR4_HUMAN
9606.P30939	5HT1F_HUMAN
9606.P30411	BKRB2_HUMAN
9606.P25024	CXCR1_HUMAN
9606.P50052	AGTR2_HUMAN
9606.P25021	HRH2_HUMAN
9606.P35462	DRD3_HUMAN
9606.P28223	5HT2A_HUMAN
9606.P21918	DRD5_HUMAN
9606.P32238	CCKAR_HUMAN
9606.P25103	NK1R_HUMAN
9606.P35346	SSR5_HUMAN
9606.P49238	CX3C1_HUMAN
9606.P51679	CCR4_HUMAN
9606.P28335	5HT2C_HUMAN
9606.P25025	CXCR2_HUMAN
9606.P32745	SSR3_HUMAN
9606.P32302	CXCR5_HUMAN
9606.P18825	ADA2C_HUMAN
9606.P51677	CCR3_HUMAN
9606.P47898	5HT5A_HUMAN
9606.P13945	ADRB3_HUMAN
9606.P51681	CCR5_HUMAN
9606.P29371	NK3R_HUMAN
9606.P21917	DRD4_HUMAN
9606.P21452	NK2R_HUMAN
9606.P47211	GALR1_HUMAN
9606.P20309	ACM3_HUMAN
9606.P32249	GP183_HUMAN
9606.P25106	ACKR3_HUMAN
9606.P41597	CCR2_HUMAN
9606.P25929	NPY1R_HUMAN
9606.P50406	5HT6R_HUMAN
9606.P43657	LPAR6_HUMAN
9606.P32239	GASR_HUMAN
9606.P35367	HRH1_HUMAN
9606.P32248	CCR7_HUMAN
9606.P41595	5HT2B_HUMAN
9606.P49682	CXCR3_HUMAN
9606.P51684	CCR6_HUMAN
9606.P32247	BRS3_HUMAN
9606.P49683	PRLHR_HUMAN
9606.P48146	NPBW2_HUMAN
9606.P51686	CCR9_HUMAN
9606.P51685	CCR8_HUMAN
9606.P48145	NPBW1_HUMAN
9606.P21730	C5AR1_HUMAN
9606.P28336	NMBR_HUMAN
9606.P49146	NPY2R_HUMAN
9606.P46663	BKRB1_HUMAN
9606.P30550	GRPR_HUMAN
9606.P29274	AA2AR_HUMAN
9606.P25105	PTAFR_HUMAN
9606.P29275	AA2BR_HUMAN
9606.P25116	PAR1_HUMAN
9606.P34981	TRFR_HUMAN
9606.P30989	NTR1_HUMAN
9606.P30518	V2R_HUMAN
9606.P46093	GPR4_HUMAN
9606.P49685	GPR15_HUMAN
9606.P46094	XCR1_HUMAN
9606.P47901	V1BR_HUMAN
9606.P46092	CCR10_HUMAN
9606.P50391	NPY4R_HUMAN
9606.P21554	CNR1_HUMAN
9606.P51582	P2RY4_HUMAN
9606.P30542	AA1R_HUMAN
9606.P46091	CML2_HUMAN
9606.P55085	PAR2_HUMAN
9606.P25090	FPR2_HUMAN
9606.P47900	P2RY1_HUMAN
9606.P48039	MTR1A_HUMAN
9606.P41231	P2RY2_HUMAN
9606.P49286	MTR1B_HUMAN
9606.P25089	FPR3_HUMAN
9606.P37288	V1AR_HUMAN
9606.P21462	FPR1_HUMAN
9606.P35408	PE2R4_HUMAN
9606.P30559	OXYR_HUMAN
9606.P49019	HCAR3_HUMAN
9606.P34972	CNR2_HUMAN
9606.P30954	O10J1_HUMAN
9606.P24530	EDNRB_HUMAN
9606.P41968	MC3R_HUMAN
9606.P21453	S1PR1_HUMAN
9606.P21731	TA2R_HUMAN
9606.P47881	OR3A1_HUMAN
9606.P34982	OR1D2_HUMAN
9606.P25101	EDNRA_HUMAN
9606.P30968	GNRHR_HUMAN
9606.P47890	OR1G1_HUMAN
9606.P47884	OR1D4_HUMAN
9606.P30953	OR1E1_HUMAN
9606.P47888	OR3A3_HUMAN
9606.P33032	MC5R_HUMAN
9606.P32245	MC4R_HUMAN
9606.P23945	FSHR_HUMAN
9606.P16473	TSHR_HUMAN
9606.P47893	OR3A2_HUMAN
9606.P22888	LSHR_HUMAN
9606.P46089	GPR3_HUMAN
9606.P47883	OR3A4_HUMAN
9606.P47775	GPR12_HUMAN
9606.P46095	GPR6_HUMAN
9606.P47887	OR1E2_HUMAN
9606.P43115	PE2R3_HUMAN
9606.P43116	PE2R2_HUMAN
9606.P43088	PF2R_HUMAN
9606.P43119	PI2R_HUMAN
9606.P47804	RGR_HUMAN
9606.P34995	PE2R1_HUMAN
9606.P61073	CXCR4_HUMAN
9606.P58170	OR1D5_HUMAN
9606.P58173	OR2B6_HUMAN
9606.Q01726	MSHR_HUMAN
9606.Q01718	ACTHR_HUMAN
9606.P60893	GPR85_HUMAN
9606.P58181	O10A3_HUMAN
9606.P59922	OR2B8_HUMAN
9606.P58180	OR4D2_HUMAN
9606.P58182	O12D2_HUMAN
9606.Q13639	5HT4R_HUMAN
9606.Q13304	GPR17_HUMAN
9606.Q13585	MTR1L_HUMAN
9606.Q13607	OR2F1_HUMAN
9606.Q13606	OR5I1_HUMAN
9606.Q13258	PD2R_HUMAN
9606.Q15743	GPR68_HUMAN
9606.Q15077	P2RY6_HUMAN
9606.Q16581	C3AR_HUMAN
9606.Q15722	LT4R1_HUMAN
9606.Q15761	NPY5R_HUMAN
9606.Q15760	GPR19_HUMAN
9606.Q15619	OR1C1_HUMAN
9606.Q15622	OR7A5_HUMAN
9606.Q15391	P2Y14_HUMAN
9606.Q14330	GPR18_HUMAN
9606.Q15620	OR8B8_HUMAN
9606.Q15615	OR4D1_HUMAN
9606.Q15617	OR8G1_HUMAN
9606.Q15612	OR1Q1_HUMAN
9606.Q14439	GP176_HUMAN
9606.Q16538	GP162_HUMAN
9606.Q49SQ1	GPR33_HUMAN
9606.Q5JQS5	OR2BB_HUMAN
9606.Q5JRS4	O10J3_HUMAN
9606.Q5TZ20	OR2G6_HUMAN
9606.Q5NUL3	FFAR4_HUMAN
9606.Q5UAW9	GP157_HUMAN
9606.Q6IF42	OR2A2_HUMAN
9606.Q6IEZ7	OR2T5_HUMAN
9606.Q6IF00	OR2T2_HUMAN
9606.Q6IFN5	O7E24_HUMAN
9606.Q6IEU7	OR5MA_HUMAN
9606.Q6IEV9	OR4CB_HUMAN
9606.Q6IF36	O8G2P_HUMAN
9606.Q6IEY1	OR4F3_HUMAN
9606.Q6IFH4	OR6B2_HUMAN
9606.Q6IF99	O10K2_HUMAN
9606.Q6IF82	O4A47_HUMAN
9606.Q6IFG1	O52E8_HUMAN
9606.Q6DWJ6	GP139_HUMAN
9606.Q6IF63	O52W1_HUMAN
9606.Q6NV75	GP153_HUMAN
9606.Q6W5P4	NPSR1_HUMAN
9606.Q6U736	OPN5_HUMAN
9606.Q6UXT6	OR9H1_HUMAN
9606.Q7Z3T1	OR2W3_HUMAN
9606.Q7Z601	GP142_HUMAN
9606.Q7Z602	GP141_HUMAN
9606.Q86VZ1	P2RY8_HUMAN
9606.Q86SM8	MRGRE_HUMAN
9606.Q8IYL9	GPR65_HUMAN
9606.Q8IZ08	GP135_HUMAN
9606.Q8IXE1	OR4N5_HUMAN
9606.Q8TDU9	RL3R2_HUMAN
9606.Q8TCW9	PKR1_HUMAN
9606.Q8NFJ6	PKR2_HUMAN
9606.Q8NGS9	O13C2_HUMAN
9606.Q8NGT0	O13C9_HUMAN
9606.Q8N6U8	GP161_HUMAN
9606.Q8TDS4	HCAR2_HUMAN
9606.Q8NGS8	O13C5_HUMAN
9606.Q8NGT9	OR2A1_HUMAN
9606.Q8NGQ4	O10Q1_HUMAN
9606.Q8NGR9	OR1N2_HUMAN
9606.Q8NG98	OR7D4_HUMAN
9606.Q8NGS7	O13C8_HUMAN
9606.Q8NGH3	OR2D3_HUMAN
9606.Q8NGS6	O13C3_HUMAN
9606.Q8NG84	O2AK2_HUMAN
9606.Q8NGX8	OR6Y1_HUMAN
9606.Q8NGE5	O10A7_HUMAN
9606.Q8NGS5	O13C4_HUMAN
9606.Q8NGT7	O2A12_HUMAN
9606.Q8NH06	OR1P1_HUMAN
9606.Q8NGS0	OR1N1_HUMAN
9606.Q8N628	OR2C3_HUMAN
9606.Q8NGM8	OR6M1_HUMAN
9606.Q8NGX1	O2T34_HUMAN
9606.Q8NGA1	OR1M1_HUMAN
9606.Q8NGR5	OR1L4_HUMAN
9606.Q8NH03	OR2T3_HUMAN
9606.Q8NHA8	OR1FC_HUMAN
9606.Q8TDV5	GP119_HUMAN
9606.Q8NGR2	OR1L6_HUMAN
9606.Q8NGY6	OR6N2_HUMAN
9606.Q8NGZ9	O2T10_HUMAN
9606.Q8NH00	OR2T4_HUMAN
9606.Q8NH73	OR4S2_HUMAN
9606.Q8NG76	O2T33_HUMAN
9606.Q8NGA2	OR7A2_HUMAN
9606.Q8NGR3	OR1K1_HUMAN
9606.Q8NH02	O2T29_HUMAN
9606.Q8NHA6	OR2W6_HUMAN
9606.Q8NH04	O2T27_HUMAN
9606.Q8NGG7	OR8A1_HUMAN
9606.Q8NHA4	O2AE1_HUMAN
9606.Q8NHC4	O10J5_HUMAN
9606.Q8NGZ0	O2AJ1_HUMAN
9606.Q8N349	OR2LD_HUMAN
9606.Q8NGS1	OR1J4_HUMAN
9606.Q8NH40	OR6S1_HUMAN
9606.Q8NGQ2	OR6Q1_HUMAN
9606.Q8NGB4	OR4S1_HUMAN
9606.Q8NGE3	O10P1_HUMAN
9606.Q8NGZ4	OR2G3_HUMAN
9606.Q8NH94	OR1L1_HUMAN
9606.Q8NH72	OR4C6_HUMAN
9606.Q8NGX5	O10K1_HUMAN
9606.Q8NG80	OR2L5_HUMAN
9606.Q8TDS5	OXER1_HUMAN
9606.Q8NGT1	OR2K2_HUMAN
9606.Q8NGS3	OR1J1_HUMAN
9606.Q8NGY5	OR6N1_HUMAN
9606.Q8NH10	OR8U1_HUMAN
9606.Q8NG83	OR2M3_HUMAN
9606.Q8NGS2	OR1J2_HUMAN
9606.Q8NHB1	OR2V1_HUMAN
9606.Q8NG77	O2T12_HUMAN
9606.Q8NGS4	O13F1_HUMAN
9606.Q8NG85	OR2L3_HUMAN
9606.Q8NGC1	O11G2_HUMAN
9606.Q8NG81	OR2M7_HUMAN
9606.Q8NGN3	O10G4_HUMAN
9606.Q8NGY9	OR2L8_HUMAN
9606.Q8NGX2	O2T35_HUMAN
9606.Q8NGC8	O11H7_HUMAN
9606.Q8NG99	OR7G2_HUMAN
9606.Q8NGF6	O10W1_HUMAN
9606.Q8NGE1	OR6C4_HUMAN
9606.Q8NH16	OR2L2_HUMAN
9606.Q8NGT2	O13J1_HUMAN
9606.Q8NGQ1	OR9G4_HUMAN
9606.Q8NH07	O11H2_HUMAN
9606.Q8NGC5	OR6J1_HUMAN
9606.Q8NH05	OR4Q3_HUMAN
9606.Q8NGX9	OR6P1_HUMAN
9606.Q8NH85	OR5R1_HUMAN
9606.Q8NH74	O10A6_HUMAN
9606.Q8NHB7	OR5K1_HUMAN
9606.Q8NH01	O2T11_HUMAN
9606.Q8NGE2	O2AP1_HUMAN
9606.Q8NGP8	OR5M1_HUMAN
9606.Q8NGN6	O10G7_HUMAN
9606.Q8NGA8	O4F17_HUMAN
9606.Q8NGV5	O13D1_HUMAN
9606.Q8NGD2	OR4K2_HUMAN
9606.Q8NGN4	O10G9_HUMAN
9606.Q8NGE8	OR4D9_HUMAN
9606.Q8NGG4	OR8H1_HUMAN
9606.Q8NGL6	O4A15_HUMAN
9606.Q8NH19	O10AG_HUMAN
9606.Q8NHC8	OR2T6_HUMAN
9606.Q8NGV0	OR2Y1_HUMAN
9606.Q8NHC6	O14L1_HUMAN
9606.Q8NGY7	O10J6_HUMAN
9606.Q8NGZ6	OR6F1_HUMAN
9606.Q8NG95	OR7G3_HUMAN
9606.Q8NDV2	GPR26_HUMAN
9606.Q8NG94	O11H1_HUMAN
9606.Q8NGA5	O10H4_HUMAN
9606.Q8NGI9	OR5A2_HUMAN
9606.Q8NGG6	OR8BC_HUMAN
9606.Q8NGY1	O10Z1_HUMAN
9606.Q8NGN0	OR4D5_HUMAN
9606.Q8NGE7	OR9K2_HUMAN
9606.Q8NG97	OR2Z1_HUMAN
9606.Q8NGE0	O10AD_HUMAN
9606.Q8NGR8	OR1L8_HUMAN
9606.Q8NH48	OR5B3_HUMAN
9606.Q8NGU2	OR9A4_HUMAN
9606.Q8NH21	OR4F5_HUMAN
9606.Q8NGI8	O5AN1_HUMAN
9606.Q8N146	OR8H3_HUMAN
9606.Q8NGP4	OR5M3_HUMAN
9606.Q8NGG1	OR8J2_HUMAN
9606.Q8N127	O5AS1_HUMAN
9606.Q8NGG8	OR8B3_HUMAN
9606.Q8NGD0	OR4M1_HUMAN
9606.Q8NGC6	OR4KH_HUMAN
9606.Q8NGJ0	OR5A1_HUMAN
9606.Q8NH41	OR4KF_HUMAN
9606.Q8NGQ6	OR9I1_HUMAN
9606.Q8NGI7	O10V1_HUMAN
9606.Q8NGC7	O11H6_HUMAN
9606.Q8NH93	OR1L3_HUMAN
9606.Q8NGB9	OR4F6_HUMAN
9606.Q8N0Y3	OR4N4_HUMAN
9606.Q8NH92	OR1S1_HUMAN
9606.Q8NGX0	O11L1_HUMAN
9606.Q8NGA0	OR7G1_HUMAN
9606.Q8NGP3	OR5M9_HUMAN
9606.Q8NGD1	OR4N2_HUMAN
9606.Q8N0Y5	OR8I2_HUMAN
9606.Q8NGX6	O10R2_HUMAN
9606.Q8NGM1	OR4CF_HUMAN
9606.Q8NH50	OR8K5_HUMAN
9606.Q8NGE9	OR9Q2_HUMAN
9606.Q8NGY3	OR6K3_HUMAN
9606.Q8NGI4	OR4DB_HUMAN
9606.Q8N162	OR8H2_HUMAN
9606.Q8NH43	OR4L1_HUMAN
9606.Q8NHC5	O14AG_HUMAN
9606.Q8NGC9	O11H4_HUMAN
9606.Q8NGD5	OR4KE_HUMAN
9606.Q8NGD4	OR4K1_HUMAN
9606.Q8NGP9	O5AR1_HUMAN
9606.Q8NG92	O13H1_HUMAN
9606.Q8NGI6	OR4DA_HUMAN
9606.Q8NH79	OR6X1_HUMAN
9606.Q8NGM9	OR8D4_HUMAN
9606.Q8NH49	OR4X1_HUMAN
9606.Q8N148	OR6V1_HUMAN
9606.Q8NGR6	OR1B1_HUMAN
9606.Q8NGA6	O10H5_HUMAN
9606.Q8NH37	OR4C3_HUMAN
9606.Q8NGN1	OR6T1_HUMAN
9606.Q8NH42	OR4KD_HUMAN
9606.Q8NH81	O10G6_HUMAN
9606.Q8NGN7	O10D4_HUMAN
9606.Q8NGG0	OR8J3_HUMAN
9606.Q8NGC2	OR4E2_HUMAN
9606.Q8NGQ3	OR1S2_HUMAN
9606.Q8NGR1	O13A1_HUMAN
9606.Q8NGD3	OR4K5_HUMAN
9606.Q8NGL3	OR5DE_HUMAN
9606.Q8NGC0	O5AU1_HUMAN
9606.Q8NGU1	OR9A1_HUMAN
9606.Q8NGF8	OR4B1_HUMAN
9606.Q8NGW6	OR6K6_HUMAN
9606.Q8NGP6	OR5M8_HUMAN
9606.Q8NGB8	O4F15_HUMAN
9606.Q8NH80	O10D3_HUMAN
9606.Q8NGW1	OR6B3_HUMAN
9606.Q8NGC4	O10G3_HUMAN
9606.Q8NGL9	OR4CG_HUMAN
9606.Q8NG78	OR8G5_HUMAN
9606.Q8NG75	OR5T1_HUMAN
9606.Q8NGL1	OR5DI_HUMAN
9606.Q8NGF7	OR5BH_HUMAN
9606.Q8NGN5	O10G8_HUMAN
9606.Q8NGC3	O10G2_HUMAN
9606.Q8NGY2	OR6K2_HUMAN
9606.Q8NGY0	O10X1_HUMAN
9606.Q8NH69	OR5W2_HUMAN
9606.Q8NGQ5	OR9Q1_HUMAN
9606.Q8NHB8	OR5K2_HUMAN
9606.Q8NGN8	OR4A4_HUMAN
9606.Q8NGP2	OR8J1_HUMAN
9606.Q8NH90	O5AK2_HUMAN
9606.Q8NGX3	O10T2_HUMAN
9606.Q8NGG2	OR5T2_HUMAN
9606.Q8NGL4	OR5DD_HUMAN
9606.Q8NGV6	OR5H6_HUMAN
9606.Q8NHC7	O14CZ_HUMAN
9606.Q8NH51	OR8K3_HUMAN
9606.Q8NGT5	OR9A2_HUMAN
9606.Q8NGR4	OR5C1_HUMAN
9606.Q8NGJ1	OR4D6_HUMAN
9606.Q8NGZ3	O13G1_HUMAN
9606.Q8TCB6	O51E1_HUMAN
9606.Q8NGL7	OR4P4_HUMAN
9606.Q8NGJ5	O51L1_HUMAN
9606.Q8NH89	O5AK3_HUMAN
9606.Q8NGN2	O10S1_HUMAN
9606.Q8NGU4	OR2I1_HUMAN
9606.Q8NGZ5	OR2G2_HUMAN
9606.Q8NGF9	OR4X2_HUMAN
9606.Q8NGG5	OR8K1_HUMAN
9606.Q8NGF4	O5AP2_HUMAN
9606.Q8NGH7	O52L1_HUMAN
9606.Q8NGP0	OR4CD_HUMAN
9606.Q8NGJ6	O51A4_HUMAN
9606.Q8NGH6	O52L2_HUMAN
9606.Q8NGZ2	O14K1_HUMAN
9606.Q8NGG3	OR5T3_HUMAN
9606.Q8NGV7	OR5H2_HUMAN
9606.Q8NGB6	OR4M2_HUMAN
9606.Q8NGK4	O52K1_HUMAN
9606.Q8NGJ9	O51T1_HUMAN
9606.Q8NH08	O10AC_HUMAN
9606.Q8NH64	O51A7_HUMAN
9606.Q8NGL0	OR5L2_HUMAN
9606.Q8NGI2	O52N4_HUMAN
9606.Q8NGA4	G32P1_HUMAN
9606.Q8NGF0	O52B6_HUMAN
9606.Q8NGL2	OR5L1_HUMAN
9606.Q8NGK0	O51G2_HUMAN
9606.Q8NGJ7	O51A2_HUMAN
9606.Q8NH87	OR9G1_HUMAN
9606.Q8NGI0	O52N2_HUMAN
9606.Q8NGK9	OR5DG_HUMAN
9606.Q8NGK2	O52B4_HUMAN
9606.Q8NGK1	O51G1_HUMAN
9606.Q8NGJ8	O51S1_HUMAN
9606.Q8NH57	O52P1_HUMAN
9606.Q8NH61	O51F2_HUMAN
9606.Q8NH09	OR8S1_HUMAN
9606.Q8NGH9	O52E4_HUMAN
9606.Q8TDT2	GP152_HUMAN
9606.Q8NGK6	O52I1_HUMAN
9606.Q8NH83	OR4A5_HUMAN
9606.Q8NGK3	O52K2_HUMAN
9606.Q8NH18	OR5J2_HUMAN
9606.Q8NH60	O52J3_HUMAN
9606.Q8NGF3	O51D1_HUMAN
9606.Q8NH67	O52I2_HUMAN
9606.Q8NH56	O52N5_HUMAN
9606.Q8NGJ2	O52H1_HUMAN
9606.Q8NH70	O4A16_HUMAN
9606.Q8NGF1	O52R1_HUMAN
9606.Q8NGK5	O52M1_HUMAN
9606.Q8NGJ4	O52E2_HUMAN
9606.Q8NGB2	OR4C5_HUMAN
9606.Q8NH63	O51H1_HUMAN
9606.Q8NH55	O52E5_HUMAN
9606.Q8TDV0	GP151_HUMAN
9606.Q8NGI3	O56B1_HUMAN
9606.Q8NGI1	O56B2_HUMAN
9606.Q8NH59	O51Q1_HUMAN
9606.Q8NGH8	O56A4_HUMAN
9606.Q8NH54	O56A3_HUMAN
9606.Q8NH95	O13C6_HUMAN
9606.Q8NH76	O56B4_HUMAN
9606.Q8NH53	O52N1_HUMAN
9606.Q8NGU9	GP150_HUMAN
9606.Q8NGH5	O56A1_HUMAN
9606.Q8TDV2	GP148_HUMAN
9606.Q8NGJ3	O52E1_HUMAN
9606.Q8TDU6	GPBAR_HUMAN
9606.Q8TDS7	MRGRD_HUMAN
9606.Q8WZ84	OR8D1_HUMAN
9606.Q8WZ94	OR5P3_HUMAN
9606.Q8WZ92	OR5P2_HUMAN
9606.Q8WZA6	OR1E3_HUMAN
9606.Q8WXD0	RXFP2_HUMAN
9606.Q96P65	QRFPR_HUMAN
9606.Q96RJ0	TAAR1_HUMAN
9606.Q92847	GHSR_HUMAN
9606.Q96RI9	TAAR9_HUMAN
9606.Q969F8	KISSR_HUMAN
9606.Q96RI8	TAAR6_HUMAN
9606.Q969V1	MCHR2_HUMAN
9606.Q96P66	GP101_HUMAN
9606.Q96RI0	PAR4_HUMAN
9606.Q969N4	TAAR8_HUMAN
9606.Q96P68	OXGR1_HUMAN
9606.Q96RA2	OR7D2_HUMAN
9606.Q96R47	O2A14_HUMAN
9606.Q96R48	OR2A5_HUMAN
9606.Q96R27	OR2M4_HUMAN
9606.Q92633	LPAR1_HUMAN
9606.Q96KK4	O10C1_HUMAN
9606.Q96R30	OR2V2_HUMAN
9606.Q96G91	P2Y11_HUMAN
9606.Q96R09	OR5B2_HUMAN
9606.Q96R84	OR1F2_HUMAN
9606.Q96RD1	OR6C1_HUMAN
9606.Q96R28	OR2M2_HUMAN
9606.Q96R72	OR4K3_HUMAN
9606.Q96R08	OR5BC_HUMAN
9606.Q96R69	OR4F4_HUMAN
9606.Q96RB7	OR5MB_HUMAN
9606.Q96RD0	OR8B2_HUMAN
9606.Q96R67	OR4CC_HUMAN
9606.Q96RC9	OR8B4_HUMAN
9606.Q96P88	GNRR2_HUMAN
9606.Q96P69	GPR78_HUMAN
9606.Q96R54	O14A2_HUMAN
9606.Q96R45	OR2A7_HUMAN
9606.Q96RD2	O52B2_HUMAN
9606.Q96P67	GPR82_HUMAN
9606.Q96RD3	O52E6_HUMAN
9606.Q96LA9	MRGX4_HUMAN
9606.Q96LB2	MRGX1_HUMAN
9606.Q96CH1	GP146_HUMAN
9606.Q96LB1	MRGX2_HUMAN
9606.Q96LB0	MRGX3_HUMAN
9606.Q96AM1	MRGRF_HUMAN
9606.Q99677	LPAR4_HUMAN
9606.Q99705	MCHR1_HUMAN
9606.Q9BXC1	GP174_HUMAN
9606.Q99788	CML1_HUMAN
9606.Q9BZJ6	GPR63_HUMAN
9606.Q99527	GPER1_HUMAN
9606.Q9BXA5	SUCR1_HUMAN
9606.Q99463	NPY6R_HUMAN
9606.Q9BXC0	HCAR1_HUMAN
9606.Q9BY21	GPR87_HUMAN
9606.Q9BZJ8	GPR61_HUMAN
9606.Q9BPV8	P2Y13_HUMAN
9606.Q99500	S1PR3_HUMAN
9606.Q99679	GPR21_HUMAN
9606.Q99678	GPR20_HUMAN
9606.Q99680	GPR22_HUMAN
9606.Q9BZJ7	GPR62_HUMAN
9606.Q9BXB1	LGR4_HUMAN
9606.Q9GZQ6	NPFF1_HUMAN
9606.Q9GZQ4	NMUR2_HUMAN
9606.Q9HB89	NMUR1_HUMAN
9606.Q9H1C0	LPAR5_HUMAN
9606.Q9H3N8	HRH4_HUMAN
9606.Q9H1Y3	OPN3_HUMAN
9606.Q9GZK6	OR2J1_HUMAN
9606.Q9H244	P2Y12_HUMAN
9606.Q9H207	O10A5_HUMAN
9606.Q9HC97	GPR35_HUMAN
9606.Q9H208	O10A2_HUMAN
9606.Q9H210	OR2D2_HUMAN
9606.Q9GZK3	OR2B2_HUMAN
9606.Q9H205	O2AG1_HUMAN
9606.Q9GZK7	O11A1_HUMAN
