SML,tag
SML0068,nutty
SML0068,potato
SML0068,roasted
SML0068,vegetable
SML0069,cinnamon
SML0069,clove
SML0069,fresh
SML0069,herbal
SML0069,musty
SML0069,peppery
SML0069,phenolic
SML0069,spicy
SML0069,sweet
SML0069,tea
SML0069,vegetable
SML0069,warm
SML0069,waxy
SML0070,earthy
SML0070,nutty
SML0070,potato
SML0070,roasted
SML0071,earthy
SML0071,green
SML0071,musty
SML0071,nutty
SML0071,vegetable
SML0073,green
SML0073,herbal
SML0073,hyacinth
SML0074,citrus
SML0074,fresh
SML0074,natural
SML0074,rose
SML0074,sweet
SML0075,animal
SML0075,brown
SML0075,coumarinic
SML0075,fruity
SML0075,musk
SML0075,natural
SML0075,pear
SML0075,powdery
SML0075,sweet
SML0075,tobacco
SML0076,musk
SML0076,sweet
SML0076,waxy
SML0077,apple
SML0077,banana
SML0077,ethereal
SML0077,fruity
SML0077,pear
SML0078,camphoreous
SML0078,ketonic
SML0078,mint
SML0078,minty
SML0078,solvent
SML0078,sweet
SML0079,banana
SML0079,cheesy
SML0079,cinnamon
SML0079,coconut
SML0079,creamy
SML0079,fruity
SML0079,green
SML0079,herbal
SML0079,ketonic
SML0079,spicy
SML0079,sweet
SML0079,woody
SML0080,almond
SML0080,chemical
SML0080,cherry
SML0080,coumarinic
SML0080,floral
SML0080,hawthorn
SML0080,nutty
SML0080,pungent
SML0080,sweet
SML0080,vanilla
SML0082,dry
SML0082,fatty
SML0082,musk
SML0082,soapy
SML0082,sweet
SML0083,cooling
SML0083,mentholic
SML0083,mint
SML0083,minty
SML0084,camphoreous
SML0084,ethereal
SML0084,fruity
SML0084,ketonic
SML0084,solvent
SML0084,sweet
SML0085,aldehydic
SML0085,chicken
SML0085,earthy
SML0085,fatty
SML0085,green
SML0085,mushroom
SML0085,waxy
SML0086,camphoreous
SML0086,earthy
SML0086,musty
SML0087,burnt
SML0087,clove
SML0087,leathery
SML0087,medicinal
SML0087,phenolic
SML0087,smoky
SML0087,spicy
SML0087,sweet
SML0087,vanilla
SML0087,woody
SML0088,cheesy
SML0088,pungent
SML0088,sour
SML0090,floral
SML0090,fresh
SML0090,sweet
SML0091,banana
SML0091,ethereal
SML0091,fruity
SML0091,pear
SML0091,pineapple
SML0091,sharp
SML0091,solvent
SML0091,sweet
SML0092,camphoreous
SML0092,fresh
SML0092,herbal
SML0092,medicinal
SML0093,fresh
SML0093,grassy
SML0093,green
SML0093,herbal
SML0093,oily
SML0093,pungent
SML0093,vegetable
SML0094,citrus
SML0094,fresh
SML0094,fruity
SML0094,lemon
SML0095,aldehydic
SML0095,citrus
SML0095,floral
SML0095,orange
SML0095,sweet
SML0095,waxy
SML0096,buttery
SML0096,caramellic
SML0096,creamy
SML0096,pungent
SML0096,sweet
SML0097,garlic
SML0097,horseradish
SML0097,metallic
SML0097,onion
SML0097,pungent
SML0097,sulfurous
SML0097,sweet
SML0098,floral
SML0098,geranium
SML0098,green
SML0098,metallic
SML0098,phenolic
SML0099,fatty
SML0099,floral
SML0099,musk
SML0099,oily
SML0099,powdery
SML0099,sweet
SML0099,woody
SML0100,balsamic
SML0100,clove
SML0100,floral
SML0100,fresh
SML0100,fruity
SML0100,malty
SML0100,spicy
SML0100,sweet
SML0100,woody
SML0101,camphoreous
SML0101,earthy
SML0101,herbal
SML0101,pine
SML0101,sweet
SML0101,woody
SML0103,floral
SML0103,fruity
SML0103,green
SML0103,lavender
SML0103,rose
SML0103,sweet
SML0103,waxy
SML0104,meaty
SML0104,medicinal
SML0104,phenolic
SML0104,savory
SML0104,smoky
SML0104,spicy
SML0104,sweet
SML0104,vanilla
SML0104,woody
SML0105,aldehydic
SML0105,apricot
SML0105,citrus
SML0105,fatty
SML0105,floral
SML0105,fresh
SML0105,fruity
SML0105,green
SML0105,pear
SML0105,rummy
SML0105,waxy
SML0105,winey
SML0105,woody
SML0106,apple
SML0106,estery
SML0106,fruity
SML0106,green
SML0106,soapy
SML0106,sweet
SML0106,vegetable
SML0106,waxy
SML0107,camphoreous
SML0107,earthy
SML0107,fruity
SML0107,herbal
SML0107,pine
SML0107,woody
SML0108,aldehydic
SML0108,banana
SML0108,cheesy
SML0108,chocolate
SML0108,floral
SML0108,fresh
SML0108,fruity
SML0108,green
SML0108,pungent
SML0109,acidic
SML0109,buttery
SML0109,cheesy
SML0109,dairy
SML0109,fruity
SML0109,sour
SML0110,floral
SML0110,phenolic
SML0110,spicy
SML0110,sweet
SML0111,alliaceous
SML0111,cabbage
SML0111,creamy
SML0111,garlic
SML0111,oily
SML0111,savory
SML0111,sulfurous
SML0111,vegetable
SML0112,aromatic
SML0112,camphoreous
SML0112,minty
SML0112,phenolic
SML0112,sweet
SML0112,warm
SML0113,citrus
SML0113,earthy
SML0113,floral
SML0113,fruity
SML0113,green
SML0113,herbal
SML0113,jasmine
SML0113,mushroom
SML0113,orange
SML0113,peach
SML0113,waxy
SML0114,chocolate
SML0114,cocoa
SML0114,earthy
SML0114,fermented
SML0114,floral
SML0114,green
SML0114,honey
SML0114,hyacinth
SML0114,powdery
SML0114,rose
SML0114,sweet
SML0115,hazelnut
SML0115,musty
SML0115,nutty
SML0115,pungent
SML0115,roasted
SML0115,sweet
SML0116,clean
SML0116,floral
SML0116,fresh
SML0116,herbal
SML0116,pine
SML0116,sweet
SML0116,woody
SML0117,bergamot
SML0117,citrus
SML0117,herbal
SML0117,lavender
SML0117,spicy
SML0117,sweet
SML0118,almond
SML0118,floral
SML0118,fruity
SML0118,phenolic
SML0118,sweet
SML0120,floral
SML0120,musk
SML0120,sweet
SML0122,burnt
SML0122,cocoa
SML0122,coffee
SML0122,earthy
SML0122,hazelnut
SML0122,musty
SML0122,nutty
SML0122,potato
SML0122,powdery
SML0122,roasted
SML0123,chocolate
SML0123,earthy
SML0123,nutty
SML0123,potato
SML0123,vegetable
SML0124,green
SML0125,acidic
SML0125,cheesy
SML0125,fruity
SML0125,milky
SML0125,sharp
SML0125,sour
SML0125,tobacco
SML0126,aldehydic
SML0126,citrus
SML0126,cucumber
SML0126,fatty
SML0126,green
SML0126,melon
SML0126,orris
SML0126,waxy
SML0127,alliaceous
SML0127,ethereal
SML0127,garlic
SML0127,onion
SML0127,peppery
SML0127,pungent
SML0127,radish
SML0127,spicy
SML0128,brown
SML0128,burnt
SML0128,caramellic
SML0128,fruity
SML0128,pineapple
SML0128,roasted
SML0128,savory
SML0128,strawberry
SML0128,sweet
SML0129,bready
SML0129,brothy
SML0129,creamy
SML0129,earthy
SML0129,meaty
SML0129,musty
SML0129,oily
SML0129,onion
SML0129,potato
SML0129,savory
SML0129,tomato
SML0129,vegetable
SML0130,fishy
SML0130,fruity
SML0130,oily
SML0130,pungent
SML0131,dry
SML0131,fatty
SML0131,floral
SML0131,musk
SML0131,powdery
SML0131,soapy
SML0132,brandy
SML0132,caramellic
SML0132,cocoa
SML0132,coffee
SML0132,fruity
SML0132,meaty
SML0132,mushroom
SML0132,musty
SML0132,potato
SML0132,sweet
SML0132,vegetable
SML0132,winey
SML0133,earthy
SML0133,hazelnut
SML0133,meaty
SML0133,musty
SML0133,nutty
SML0133,popcorn
SML0133,potato
SML0134,buttery
SML0134,cocoa
SML0134,coffee
SML0134,fermented
SML0134,meaty
SML0134,musty
SML0134,nutty
SML0134,roasted
SML0134,woody
SML0135,citrus
SML0135,grapefruit
SML0135,orange
SML0135,sweet
SML0135,woody
SML0136,floral
SML0136,fresh
SML0136,green
SML0136,hay
SML0136,melon
SML0136,ozone
SML0137,cooling
SML0137,green
SML0137,herbal
SML0137,minty
SML0137,spicy
SML0137,sweet
SML0138,fatty
SML0138,floral
SML0138,grassy
SML0138,green
SML0138,smoky
SML0138,tobacco
SML0138,vegetable
SML0138,waxy
SML0139,anise
SML0139,camphoreous
SML0139,cooling
SML0139,fresh
SML0139,green
SML0139,herbal
SML0139,mentholic
SML0139,minty
SML0139,sweet
SML0140,clean
SML0140,fatty
SML0140,floral
SML0140,fresh
SML0140,oily
SML0140,orange
SML0140,rose
SML0142,cheesy
SML0142,dairy
SML0142,fatty
SML0142,nutty
SML0142,waxy
SML0143,chicken
SML0143,earthy
SML0143,green
SML0143,mushroom
SML0143,oily
SML0143,sweet
SML0143,vegetable
SML0144,cooked
SML0144,meaty
SML0144,mushroom
SML0144,onion
SML0144,savory
SML0144,sulfurous
SML0144,sweet
SML0144,vegetable
SML0146,floral
SML0146,green
SML0146,lily
SML0146,melon
SML0146,sweet
SML0146,tropical
SML0146,waxy
SML0147,amber
SML0147,fruity
SML0147,musk
SML0147,powdery
SML0147,sweet
SML0148,animal
SML0148,cedar
SML0148,musk
SML0148,woody
SML0149,clean
SML0149,musk
SML0149,spicy
SML0149,woody
SML0150,lemon
SML0150,sharp
SML0150,sweet
SML0151,floral
SML0151,leafy
SML0151,oily
SML0151,rose
SML0152,fruity
SML0152,green
SML0152,lemon
SML0152,metallic
SML0152,sharp
SML0152,sweet
SML0153,caramellic
SML0153,cocoa
SML0153,coffee
SML0153,hazelnut
SML0153,nutty
SML0153,popcorn
SML0153,roasted
SML0153,vegetable
SML0154,odorless
SML0155,odorless
SML0156,berry
SML0156,floral
SML0156,fruity
SML0156,jammy
SML0156,raspberry
SML0156,ripe
SML0156,sweet
SML0156,woody
SML0157,beefy
SML0157,cheesy
SML0157,coffee
SML0157,fatty
SML0157,garlic
SML0157,meaty
SML0157,onion
SML0157,roasted
SML0157,savory
SML0157,sulfurous
SML0158,alcoholic
SML0158,ethereal
SML0158,fatty
SML0158,fruity
SML0158,green
SML0158,herbal
SML0158,oily
SML0158,pungent
SML0158,sweet
SML0158,winey
SML0159,apple
SML0159,banana
SML0159,fatty
SML0159,fresh
SML0159,fruity
SML0159,green
SML0159,herbal
SML0159,leafy
SML0159,musty
SML0159,pungent
SML0159,sweet
SML0159,vegetable
SML0159,violet
SML0159,woody
SML0160,alcoholic
SML0160,balsamic
SML0160,bready
SML0160,fermented
SML0160,oily
SML0160,pungent
SML0160,solvent
SML0160,sweet
SML0160,winey
SML0163,aldehydic
SML0163,clean
SML0163,fatty
SML0163,fresh
SML0163,fruity
SML0163,grassy
SML0163,green
SML0163,leafy
SML0163,vegetable
SML0163,woody
SML0165,camphoreous
SML0165,cooling
SML0165,fresh
SML0165,green
SML0165,herbal
SML0165,minty
SML0165,pine
SML0165,terpenic
SML0166,cheesy
SML0166,cocoa
SML0166,ethereal
SML0166,fruity
SML0166,green
SML0166,vegetable
SML0168,herbal
SML0168,minty
SML0168,sweet
SML0169,citrus
SML0169,lemon
SML0170,anise
SML0170,anisic
SML0170,ethereal
SML0170,gasoline
SML0170,phenolic
SML0170,sweet
SML0171,banana
SML0171,estery
SML0171,fruity
SML0171,pear
SML0171,ripe
SML0171,solvent
SML0171,sweet
SML0172,citrus
SML0172,floral
SML0172,fruity
SML0172,geranium
SML0172,green
SML0172,powdery
SML0172,rose
SML0172,sweet
SML0172,waxy
SML0173,animal
SML0173,fishy
SML0174,citrus
SML0174,fresh
SML0174,green
SML0174,herbal
SML0174,lemon
SML0174,woody
SML0176,acidic
SML0176,cheesy
SML0176,fermented
SML0176,fruity
SML0176,pungent
SML0177,apple
SML0177,earthy
SML0177,floral
SML0177,fruity
SML0177,grape
SML0177,green
SML0177,natural
SML0177,plum
SML0177,raspberry
SML0177,rose
SML0177,sweet
SML0177,tea
SML0177,tobacco
SML0177,woody
SML0178,brothy
SML0178,chicken
SML0178,citrus
SML0178,cucumber
SML0178,fatty
SML0178,melon
SML0178,nutty
SML0178,oily
SML0179,cucumber
SML0179,dry
SML0179,fatty
SML0179,green
SML0179,leafy
SML0179,melon
SML0179,vegetable
SML0179,violet
SML0180,balsamic
SML0180,floral
SML0180,fruity
SML0180,orris
SML0180,sweet
SML0180,tropical
SML0180,violet
SML0180,woody
SML0182,aldehydic
SML0182,citrus
SML0182,orange
SML0183,aldehydic
SML0183,citrus
SML0183,cucumber
SML0184,berry
SML0184,floral
SML0184,fruity
SML0184,honey
SML0184,minty
SML0184,plum
SML0184,rose
SML0184,tobacco
SML0184,woody
SML0186,citrus
SML0186,floral
SML0186,green
SML0186,waxy
SML0186,woody
SML0187,berry
SML0187,floral
SML0187,fruity
SML0187,sweet
SML0187,tropical
SML0187,violet
SML0187,woody
SML0189,aldehydic
SML0189,citrus
SML0189,fatty
SML0189,fresh
SML0189,fruity
SML0189,green
SML0189,orange
SML0190,citrus
SML0190,fatty
SML0190,grapefruit
SML0190,meaty
SML0190,orange
SML0191,chicken
SML0191,cucumber
SML0191,fatty
SML0191,green
SML0191,melon
SML0191,nutty
SML0191,waxy
SML0192,apple
SML0192,bergamot
SML0192,berry
SML0192,citrus
SML0192,floral
SML0192,green
SML0192,herbal
SML0192,lavender
SML0192,vegetable
SML0192,woody
SML0193,cheesy
SML0193,citrus
SML0193,dairy
SML0193,fatty
SML0193,sour
SML0193,waxy
SML0194,odorless
SML0195,cabbage
SML0195,chicken
SML0195,earthy
SML0195,fishy
SML0195,herbal
SML0195,metallic
SML0195,mushroom
SML0195,musty
SML0195,savory
SML0195,vegetable
SML0196,aldehydic
SML0196,citrus
SML0196,cognac
SML0196,fatty
SML0196,fresh
SML0196,green
SML0196,herbal
SML0196,nutty
SML0196,ozone
SML0196,sweet
SML0197,apple
SML0197,banana
SML0197,cherry
SML0197,fresh
SML0197,fruity
SML0197,green
SML0197,pear
SML0197,pineapple
SML0197,ripe
SML0197,sweet
SML0198,banana
SML0198,dairy
SML0198,ethereal
SML0198,fermented
SML0198,fruity
SML0198,ketonic
SML0198,rum
SML0198,sweet
SML0198,winey
SML0198,woody
SML0199,berry
SML0199,bready
SML0199,chocolate
SML0199,fermented
SML0199,fruity
SML0199,nutty
SML0199,pungent
SML0200,floral
SML0200,fruity
SML0200,musk
SML0200,pear
SML0200,woody
SML0206,burnt
SML0206,celery
SML0206,dairy
SML0206,fatty
SML0206,floral
SML0206,fresh
SML0206,fruity
SML0206,jasmin
SML0206,oily
SML0206,waxy
SML0208,onion
SML0208,sulfurous
SML0209,animal
SML0209,musk
SML0209,powdery
SML0211,berry
SML0211,floral
SML0211,fruity
SML0211,grape
SML0211,plum
SML0211,powdery
SML0211,sweet
SML0211,winey
SML0212,cinnamon
SML0212,spicy
SML0212,sweet
SML0212,warm
SML0213,banana
SML0213,cherry
SML0213,fruity
SML0213,pineapple
SML0213,sweet
SML0213,tropical
SML0214,fruity
SML0214,honey
SML0214,pineapple
SML0214,rummy
SML0214,sweet
SML0215,balsamic
SML0215,floral
SML0215,fruity
SML0215,hyacinth
SML0217,cooked
SML0217,garlic
SML0217,onion
SML0217,sulfurous
SML0217,vegetable
SML0219,cabbage
SML0219,chicken
SML0219,coffee
SML0219,meaty
SML0219,onion
SML0219,potato
SML0219,roasted
SML0219,sulfurous
SML0220,sulfurous
SML0221,meaty
SML0221,roasted
SML0221,sulfurous
SML0221,vegetable
SML0222,floral
SML0222,fruity
SML0222,herbal
SML0222,jasmin
SML0222,jasmine
SML0222,powdery
SML0222,spicy
SML0222,sweet
SML0222,woody
SML0223,apple
SML0223,berry
SML0223,estery
SML0223,fatty
SML0223,fruity
SML0223,green
SML0223,herbal
SML0223,waxy
SML0225,herbal
SML0225,mentholic
SML0225,minty
SML0227,animal
SML0227,earthy
SML0227,leathery
SML0227,medicinal
SML0227,musty
SML0227,sweet
SML0227,tobacco
SML0228,alliaceous
SML0228,berry
SML0228,cocoa
SML0228,coffee
SML0228,green
SML0228,meaty
SML0228,musty
SML0228,onion
SML0229,burnt
SML0229,fishy
SML0229,sour
SML0231,camphoreous
SML0231,pine
SML0231,sweet
SML0232,hazelnut
SML0232,metallic
SML0232,nutty
SML0233,cucumber
SML0233,fatty
SML0233,green
SML0233,herbal
SML0233,leafy
SML0233,nutty
SML0233,oily
SML0233,violet
SML0235,grapefruit
SML0235,meaty
SML0235,onion
SML0235,roasted
SML0235,sulfurous
SML0236,camphoreous
SML0236,earthy
SML0236,floral
SML0236,fresh
SML0236,geranium
SML0236,green
SML0236,herbal
SML0236,rose
SML0236,spicy
SML0236,vegetable
SML0237,buttery
SML0237,creamy
SML0237,dairy
SML0237,fatty
SML0237,milky
SML0237,sweet
SML0238,meaty
SML0238,savory
SML0239,creamy
SML0239,dairy
SML0239,fatty
SML0239,lactonic
SML0239,milky
SML0239,musty
SML0239,waxy
SML0240,buttery
SML0240,coconut
SML0240,creamy
SML0240,fatty
SML0240,fresh
SML0240,fruity
SML0240,oily
SML0240,peach
SML0240,sweet
SML0240,waxy
SML0241,fatty
SML0241,fruity
SML0241,metallic
SML0241,peach
SML0241,sweet
SML0242,buttery
SML0242,coconut
SML0242,creamy
SML0242,fatty
SML0242,oily
SML0242,sweet
SML0242,waxy
SML0243,coconut
SML0243,coumarinic
SML0243,creamy
SML0243,dairy
SML0243,fatty
SML0243,sweet
SML0243,waxy
SML0244,apricot
SML0244,coconut
SML0244,creamy
SML0244,fatty
SML0244,fruity
SML0244,ketonic
SML0244,lactonic
SML0244,peach
SML0245,coconut
SML0246,caramellic
SML0246,fruity
SML0246,nutty
SML0246,sweet
SML0247,apricot
SML0247,buttery
SML0247,coconut
SML0247,creamy
SML0247,dairy
SML0247,fatty
SML0247,fresh
SML0247,fruity
SML0247,metallic
SML0247,milky
SML0247,oily
SML0247,peach
SML0247,sweet
SML0247,tropical
SML0248,coconut
SML0248,coumarinic
SML0248,creamy
SML0248,dairy
SML0248,fatty
SML0248,green
SML0248,lactonic
SML0248,sweet
SML0248,tropical
SML0249,apple
SML0249,fatty
SML0249,fresh
SML0249,fruity
SML0249,green
SML0249,oily
SML0249,pungent
SML0249,sweet
SML0249,vegetable
SML0250,aldehydic
SML0250,citrus
SML0250,fatty
SML0250,fresh
SML0250,fruity
SML0250,green
SML0250,lemon
SML0250,orange
SML0250,sweet
SML0250,waxy
SML0251,citrus
SML0251,fresh
SML0251,medicinal
SML0251,spicy
SML0251,terpenic
SML0252,camphoreous
SML0252,citrus
SML0252,gasoline
SML0252,herbal
SML0252,terpenic
SML0253,cucumber
SML0253,fatty
SML0253,melon
SML0253,orris
SML0253,waxy
SML0254,fatty
SML0254,fruity
SML0254,green
SML0254,leafy
SML0255,apple
SML0255,banana
SML0255,fresh
SML0255,fruity
SML0255,grassy
SML0255,green
SML0255,melon
SML0255,pear
SML0255,sweet
SML0256,apple
SML0256,fatty
SML0256,fresh
SML0256,fruity
SML0256,grassy
SML0256,green
SML0256,leafy
SML0256,pungent
SML0256,weedy
SML0257,creamy
SML0257,dairy
SML0257,fatty
SML0257,green
SML0257,milky
SML0257,oily
SML0257,vegetable
SML0258,geranium
SML0258,green
SML0258,metallic
SML0259,alcoholic
SML0259,earthy
SML0259,ethereal
SML0259,fruity
SML0259,green
SML0259,nutty
SML0259,sweet
SML0259,vegetable
SML0260,cherry
SML0260,creamy
SML0260,floral
SML0260,spicy
SML0260,sweet
SML0260,tropical
SML0260,vanilla
SML0261,animal
SML0261,beefy
SML0261,brothy
SML0261,citrus
SML0261,cooked
SML0261,fatty
SML0261,fruity
SML0261,meaty
SML0261,savory
SML0261,sweet
SML0261,waxy
SML0262,anise
SML0262,anisic
SML0262,green
SML0262,herbal
SML0262,minty
SML0262,phenolic
SML0262,spicy
SML0262,sweet
SML0263,anise
SML0263,anisic
SML0263,herbal
SML0263,medicinal
SML0263,sweet
SML0264,citrus
SML0264,clove
SML0264,coffee
SML0264,lemon
SML0264,musty
SML0264,nutty
SML0264,phenolic
SML0264,pine
SML0264,spicy
SML0265,burnt
SML0265,phenolic
SML0265,roasted
SML0265,sharp
SML0265,smoky
SML0266,balsamic
SML0266,medicinal
SML0266,phenolic
SML0266,powdery
SML0266,smoky
SML0266,sweet
SML0266,woody
SML0267,coffee
SML0267,medicinal
SML0267,phenolic
SML0267,sharp
SML0267,smoky
SML0267,sweet
SML0268,alliaceous
SML0268,aromatic
SML0268,citrus
SML0268,garlic
SML0268,grapefruit
SML0268,onion
SML0268,sulfurous
SML0268,tropical
SML0268,woody
SML0269,bready
SML0269,chicken
SML0269,grassy
SML0269,green
SML0269,herbal
SML0269,nutty
SML0269,onion
SML0269,popcorn
SML0269,roasted
SML0271,medicinal
SML0271,phenolic
SML0271,smoky
SML0271,sweet
SML0271,vanilla
SML0272,brothy
SML0272,chemical
SML0272,coffee
SML0272,meaty
SML0272,onion
SML0272,roasted
SML0272,sulfurous
SML0272,vegetable
SML0273,alcoholic
SML0273,chocolate
SML0273,cocoa
SML0273,coffee
SML0273,fatty
SML0273,fermented
SML0273,fruity
SML0273,green
