pid,OR_class,n_ligands
9606.Q8NGH6,Class I,1
9606.Q8NGH7,Class I,1
9606.Q8NGH8,Class I,31
9606.Q8NGH9,Class I,24
9606.Q8NGI0,Class I,26
9606.Q8NGI1,Class I,14
9606.Q8NGI2,Class I,58
9606.Q8NGI3,Class I,6
9606.Q8NGI4,Class II,0
9606.Q8NGI6,Class II,5
9606.Q8NGI7,Class II,8
9606.Q8NGI8,Class II,81
9606.Q8NGI9,Class II,280
9606.Q8NGJ0,Class II,4
9606.Q8NGJ1,Class II,1
9606.Q8NGJ2,Class I,63
9606.Q8NGJ3,Class I,0
9606.Q8NGJ4,Class I,9
9606.Q8NGJ5,Class I,32
9606.Q8NGJ6,Class I,6
9606.Q8NGJ7,Class I,8
9606.Q8NGJ8,Class I,44
9606.Q8NGJ9,Class I,18
9606.Q8NGK0,Class I,0
9606.Q8NGK1,Class I,4
9606.Q8NGK2,Class I,3
9606.Q8NGK3,Class I,1
9606.Q8NGK4,Class I,2
9606.Q8NGK5,Class I,1
9606.Q8NGK6,Class I,6
9606.Q8NGK9,Class II,3
9606.Q8NGL0,Class II,5
9606.Q8NGL1,Class II,1
9606.Q8NGL2,Class II,18
9606.Q8NGL3,Class II,1
9606.Q8NGL4,Class II,1
9606.Q8NGL6,Class II,0
9606.Q8NGL7,Class II,1
9606.Q8NGL9,Class II,4
9606.Q8NGM1,Class II,2
9606.Q8NGM9,Class II,1
9606.Q8NGN0,Class II,34
9606.Q8NGN1,Class II,7
9606.Q8NGN2,Class II,30
9606.Q8NGN3,Class II,186
9606.Q8NGN4,Class II,39
9606.Q8NGN5,Class II,3
9606.Q8NGN6,Class II,360
9606.Q8NGN7,Class II,3
9606.Q8NGN8,Class II,4
9606.Q8NGP0,Class II,0
9606.Q8NGP2,Class II,2
9606.Q8NGP3,Class II,12
9606.Q8NGP4,Class II,2
9606.Q8NGP6,Class II,3
9606.Q8NGP8,Class II,7
9606.Q8NGP9,Class II,4
9606.Q8NGQ1,Class II,4
9606.Q8NGQ2,Class II,1
9606.Q8NGQ3,Class II,4
9606.Q8NGQ4,Class II,12
9606.Q8NGQ5,Class II,8
9606.Q8NGQ6,Class II,3
9606.Q8NGR1,Class II,1
9606.Q8NGR2,Class II,0
9606.Q8NGR3,Class II,4
9606.Q8NGR4,Class II,1
9606.Q8NGR5,Class II,2
9606.Q8NGR6,Class II,7
9606.Q8NGR8,Class II,5
9606.Q8NGR9,Class II,9
9606.Q8NGS0,Class II,3
9606.Q8NGS1,Class II,20
9606.Q8NGS2,Class II,3
9606.Q8NGS3,Class II,31
9606.Q8NGS4,Class II,0
9606.Q8NGS5,Class II,3
9606.Q8NGS6,Class II,1
9606.Q8NGS7,Class II,6
9606.Q8NGS8,Class II,3
9606.Q8NGS9,Class II,34
9606.Q8NGT0,Class II,5
9606.Q8NGT1,Class II,1
9606.Q8NGT2,Class II,4
9606.Q8NGT5,Class II,2
9606.Q8NGT7,Class II,14
9606.Q8NGT9,Class II,6
9606.Q8NGU1,Class II,14
9606.Q8NGU2,Class II,103
9606.Q8NGU4,Class II,15
9606.Q8NGV0,Class II,16
9606.Q8NGV5,Class II,0
9606.Q8NGV6,Class II,1
9606.Q8NGV7,Class II,6
9606.Q8NGW1,Class II,0
9606.Q8NGW6,Class II,0
9606.Q8NGX0,Class II,8
9606.Q8NGX1,Class II,7
9606.Q8NGX2,Class II,61
9606.Q8NGX3,Class II,5
9606.Q8NGX5,Class II,8
9606.Q8NGX6,Class II,0
9606.Q8NGX8,Class II,9
9606.Q8NGX9,Class II,59
9606.Q8NGY0,Class II,1
9606.Q8NGY1,Class II,3
9606.Q8NGY2,Class II,4
9606.Q8NGY3,Class II,0
9606.Q8NGY5,Class II,7
9606.Q8NGY6,Class II,3
9606.Q8NGY7,Class II,7
9606.Q8NGY9,Class II,0
9606.Q8NGZ0,Class II,0
9606.Q8NGZ2,Class II,2
9606.Q8NGZ3,Class II,2
9606.Q8NGZ4,Class II,1
9606.Q8NGZ5,Class II,5
9606.Q8NGZ6,Class II,24
9606.Q8NGZ9,Class II,13
9606.Q8NH00,Class II,15
9606.Q8NH01,Class II,4
9606.Q8NH02,Class II,7
9606.Q8NH03,Class II,5
9606.Q8NH04,Class II,6
9606.Q8NH05,Class II,4
9606.Q8NH06,Class II,5
9606.Q8NH07,Class II,7
9606.Q8NH08,Class II,13
9606.Q8NH09,Class II,0
9606.Q8NH10,Class II,1
9606.Q8NH16,Class II,4
9606.Q8NH18,Class II,50
9606.Q8NH19,Class II,4
9606.Q8NH21,Class II,4
9606.Q8NH37,Class II,5
9606.Q8NH40,Class II,10
9606.Q8NH41,Class II,10
9606.Q8NH42,Class II,1
9606.Q8NH43,Class II,5
9606.Q8NH48,Class II,4
9606.Q8NH49,Class II,3
9606.Q8NH50,Class II,9
9606.Q8NH51,Class II,1
9606.Q8NH53,Class I,4
9606.Q8NH54,Class I,25
9606.Q8NH55,Class I,141
9606.Q8NH56,Class I,185
9606.Q8NH57,Class I,3
9606.Q8NH59,Class I,0
9606.Q8NH60,Class I,32
9606.Q8NH61,Class I,0
9606.Q8NH63,Class I,1
9606.Q8NH64,Class I,0
9606.Q8NH67,Class I,0
9606.Q8NH69,Class II,1
9606.Q8NH70,Class II,4
9606.Q8NH72,Class II,6
9606.Q8NH73,Class II,16
9606.Q8NH74,Class II,148
9606.Q8NH76,Class I,5
9606.Q8NH79,Class II,48
9606.Q8NH80,Class II,6
9606.Q8NH81,Class II,12
9606.Q8NH83,Class II,77
9606.Q8NH85,Class II,25
9606.Q8NH87,Class II,2
9606.Q8NH89,Class II,2
9606.Q8NH90,Class II,1
9606.Q8NH92,Class II,0
9606.Q8NH93,Class II,6
9606.Q8NH94,Class II,0
9606.Q8NH95,Class II,5
9606.Q8NHA4,Class II,11
9606.Q8NHA6,Class II,3
9606.Q8NHA8,Class II,21
9606.Q8NHB1,Class II,23
9606.Q8NHB7,Class II,70
9606.Q8NHB8,Class II,1
9606.Q8NHC4,Class II,5
9606.Q8NHC5,Class II,0
9606.Q8NHC6,Class II,2
9606.Q8NHC7,Class II,0
9606.Q8NHC8,Class II,0
9606.Q8TCB6,Class I,102
9606.Q8WZ84,Class II,3
9606.Q8WZ92,Class II,10
9606.Q8WZ94,Class II,127
9606.Q8WZA6,Class II,3
9606.Q96KK4,Class II,15
9606.Q96R08,Class II,7
9606.Q96R09,Class II,0
9606.Q96R27,Class II,13
9606.Q96R28,Class II,0
9606.Q96R30,Class II,2
9606.Q96R45,Class II,42
9606.Q96R47,Class II,23
9606.Q96R48,Class II,5
9606.Q96R54,Class II,6
9606.Q96R67,Class II,8
9606.Q96R69,Class II,170
9606.Q96R72,Class II,3
9606.Q96R84,Class II,6
9606.Q96RA2,Class II,0
9606.Q96RB7,Class II,63
9606.Q96RC9,Class II,0
9606.Q96RD0,Class II,142
9606.Q96RD1,Class II,0
9606.Q96RD2,Class I,20
9606.Q96RD3,Class I,2
9606.Q9BZC5,Class II,5
9606.Q9GZK3,Class II,5
9606.Q9GZK4,Class II,3
9606.Q9GZK6,Class II,31
9606.Q9GZK7,Class II,13
9606.Q9GZM6,Class II,1
9606.Q9H205,Class II,11
9606.Q9H207,Class II,111
9606.Q9H208,Class II,2
9606.Q9H209,Class II,6
9606.Q9H210,Class II,67
9606.Q9H255,Class I,57
9606.Q9H2C5,Class I,44
9606.Q9H2C8,Class I,3
9606.Q9H339,Class I,14
9606.Q9H340,Class I,33
9606.Q9H341,Class I,10
9606.Q9H342,Class I,11
9606.Q9H343,Class I,109
9606.Q9H344,Class I,24
9606.Q9H346,Class I,221
9606.Q9NQN1,Class II,3
9606.Q9NZP0,Class II,1
9606.Q9NZP2,Class II,1
9606.Q9NZP5,Class II,0
9606.Q9P1Q5,Class II,276
9606.Q9UGF5,Class II,20
9606.Q9UGF6,Class II,8
9606.Q9UGF7,Class II,1
9606.Q9UKL2,Class I,8
9606.Q9Y3N9,Class II,498
9606.Q9Y4A9,Class II,7
9606.Q9Y585,Class II,165
9606.Q9Y5P0,Class I,58
9606.Q9Y5P1,Class I,21
